[mea_500kV_1]二次侧数据---kV/kA
TIME		Va		Vb		Vc		Ia		Ib		Ic		Vab		Vbc		Vca		freq		P		Q		pf		3I0		3V0
    0.011208,	   20.004230,	   27.947684,	   21.687752,	    0.076817,	    0.109409,	    0.082301,	   43.498574,	   45.855142,	   30.983586,	   18.526186,	 1651.600860,	    0.000000,	    1.000000,	    0.000000,	   -0.000000
    0.011625,	   22.475642,	   29.340245,	   21.727548,	    0.086516,	    0.114716,	    0.082472,	   47.538644,	   46.483526,	   33.070103,	   53.903587,	 1838.090839,	    0.000000,	    1.000000,	   -0.000000,	   -0.000000
    0.012042,	   25.057246,	   30.470283,	   21.914489,	    0.096681,	    0.119136,	    0.083203,	   51.306555,	   46.792096,	   35.885690,	   72.634170,	 2036.548543,	    0.000000,	    1.000000,	   -0.000000,	   -0.000000
    0.012458,	   27.689370,	   31.347344,	   22.355703,	    0.107067,	    0.122637,	    0.084904,	   54.762550,	   46.884600,	   39.373866,	   60.619282,	 2249.134655,	    0.000000,	    1.000000,	    0.000000,	   -0.000000
    0.012875,	   30.318170,	   31.985260,	   23.144930,	    0.117360,	    0.125168,	    0.087969,	   57.868894,	   46.886010,	   43.436179,	   26.359061,	 2477.936124,	    0.000000,	    1.000000,	    0.000000,	   -0.000000
    0.013292,	   32.865578,	   32.389406,	   24.356463,	    0.127247,	    0.126759,	    0.092675,	   60.540915,	   46.951843,	   47.934261,	   52.761925,	 2722.457096,	    0.000000,	    1.000000,	    0.000000,	   -0.000000
    0.013708,	   35.257547,	   32.590530,	   26.018454,	    0.136505,	    0.127567,	    0.099091,	   62.717737,	   47.276956,	   52.706418,	   73.534673,	 2982.197219,	    0.000000,	    1.000000,	    0.000000,	   -0.000000
    0.014125,	   37.440736,	   32.650243,	   28.104063,	    0.144957,	    0.127827,	    0.107098,	   64.388321,	   48.061884,	   57.595623,	   66.046406,	 3257.685455,	    0.000000,	    1.000000,	    0.000000,	   -0.000000
    0.014542,	   39.372908,	   32.650901,	   30.549065,	    0.152450,	    0.127835,	    0.116452,	   65.569575,	   49.481588,	   62.456874,	   37.399983,	 3549.552634,	    0.000000,	    1.000000,	    0.000000,	   -0.000000
    0.014958,	   41.021854,	   32.692939,	   33.267464,	    0.158858,	    0.127957,	    0.126834,	   66.306240,	   51.655709,	   67.158061,	   55.737226,	 3858.344940,	   -0.054734,	    1.000000,	    0.000000,	   -0.000000
    0.015375,	   42.362532,	   32.892262,	   36.166908,	    0.164104,	    0.128609,	    0.137886,	   66.670269,	   54.637974,	   71.577634,	   70.919452,	 4184.530238,	   -0.171019,	    1.000000,	    0.000000,	   -0.000000
    0.015792,	   43.385998,	   33.369256,	   39.150300,	    0.168174,	    0.130204,	    0.149240,	   66.775431,	   58.396589,	   75.608693,	   62.167103,	 4528.598088,	    0.101708,	    1.000000,	    0.000000,	   -0.000000
    0.016208,	   44.109326,	   34.217707,	   42.117260,	    0.171100,	    0.133125,	    0.160566,	   66.776528,	   62.799662,	   79.171592,	   35.814327,	 4890.347776,	    1.000410,	    1.000000,	    0.000000,	   -0.000000
    0.016625,	   44.562112,	   35.504139,	   44.985811,	    0.172957,	    0.137697,	    0.171573,	   66.850044,	   67.696028,	   82.209891,	   54.520839,	 5270.048913,	    2.338367,	    1.000000,	    0.000000,	   -0.000000
    0.017042,	   44.787660,	   37.270635,	   47.688897,	    0.173911,	    0.144089,	    0.181972,	   67.199989,	   72.943319,	   84.683119,	   66.874073,	 5669.265645,	    3.821497,	    1.000000,	    0.000000,	   -0.000000
    0.017458,	   44.854378,	   39.509555,	   50.162189,	    0.174224,	    0.152251,	    0.191493,	   68.041130,	   78.374645,	   86.575492,	   57.232084,	 6089.165403,	    5.501565,	    1.000000,	    0.000000,	   -0.000000
    0.017875,	   44.855101,	   42.162279,	   52.349400,	    0.174239,	    0.161954,	    0.199921,	   69.561599,	   83.810827,	   87.904618,	   35.229132,	 6530.097536,	    6.195707,	    1.000000,	    0.000000,	   -0.000000
    0.018292,	   44.901108,	   45.133319,	   54.207893,	    0.174356,	    0.172871,	    0.207105,	   71.887109,	   89.078140,	   88.725385,	   52.384265,	 6991.621760,	    3.326045,	    1.000000,	    0.000000,	   -0.000000
    0.018708,	   45.113517,	   48.312760,	   55.713391,	    0.175024,	    0.184651,	    0.212964,	   75.064788,	   94.026487,	   89.130802,	   63.786201,	 7473.334168,	   -2.147847,	    1.000000,	    0.000000,	    0.000000
    0.019125,	   45.616672,	   51.603710,	   56.863115,	    0.176705,	    0.196899,	    0.217472,	   79.083711,	   98.548631,	   89.250470,	   56.279841,	 7977.237519,	   -6.224392,	    1.000000,	    0.000000,	    0.000000
    0.019542,	   46.520599,	   54.899691,	   57.669421,	    0.179805,	    0.209192,	    0.220666,	   83.848210,	  102.544186,	   89.251781,	   39.114340,	 8503.904286,	   -6.667092,	    1.000000,	    0.000000,	    0.000000
    0.019958,	   47.898715,	   58.089304,	   58.165040,	    0.184632,	    0.221166,	    0.222675,	   89.185965,	  105.928237,	   89.333925,	   52.367147,	 9051.825981,	   -4.269511,	    1.000000,	   -0.000000,	    0.000000
    0.020375,	   49.784436,	   61.086323,	   58.408450,	    0.191359,	    0.232506,	    0.223704,	   94.913175,	  108.663157,	   89.713629,	   64.068020,	 9621.575925,	   -1.865210,	    1.000000,	    0.000000,	    0.000000
    0.020792,	   52.168213,	   63.822102,	   58.480210,	    0.199969,	    0.242911,	    0.224041,	  100.844590,	  110.746869,	   90.607143,	   61.069556,	10214.718185,	   -0.866651,	    1.000000,	    0.000000,	    0.000000
    0.021208,	   54.994959,	   66.236259,	   58.481046,	    0.210267,	    0.252123,	    0.224055,	  106.786433,	  112.205633,	   92.204742,	   48.365915,	10831.720310,	   -0.144105,	    1.000000,	    0.000000,	    0.000000
    0.021625,	   58.173892,	   68.282610,	   58.529260,	    0.221919,	    0.259950,	    0.224185,	  112.551138,	  113.102504,	   94.642681,	   53.964056,	11472.390723,	   -0.427047,	    1.000000,	   -0.000000,	    0.000000
    0.022042,	   61.586215,	   69.928467,	   58.753876,	    0.234520,	    0.266300,	    0.224906,	  117.956293,	  113.539222,	   97.978412,	   61.304175,	12134.870361,	   -2.740430,	    1.000000,	   -0.000000,	    0.000000
    0.022458,	   65.109948,	   71.171260,	   59.280821,	    0.247656,	    0.271170,	    0.226689,	  122.862082,	  113.665397,	  102.184607,	   58.245681,	12818.869232,	   -5.602505,	    1.000000,	    0.000000,	    0.000000
    0.022875,	   68.634553,	   72.037640,	   60.216276,	    0.260892,	    0.274619,	    0.229951,	  127.178013,	  113.666798,	  107.163343,	   46.227317,	13526.123335,	   -7.317955,	    1.000000,	   -0.000000,	    0.000000
    0.023292,	   72.054023,	   72.570392,	   61.636545,	    0.273792,	    0.276774,	    0.235012,	  130.833575,	  113.750907,	  112.761828,	   50.660221,	14257.307678,	   -7.259933,	    1.000000,	   -0.000000,	    0.000000
    0.023708,	   75.266493,	   72.830964,	   63.578962,	    0.285963,	    0.277864,	    0.242036,	  133.777816,	  114.141239,	  118.786823,	   58.739558,	15011.678608,	   -6.168073,	    1.000000,	   -0.000000,	    0.000000
    0.024125,	   78.185913,	   72.906878,	   66.033432,	    0.297081,	    0.278216,	    0.251001,	  136.001786,	  115.059189,	  125.025956,	   59.330921,	15788.864107,	   -5.468556,	    1.000000,	   -0.000000,	    0.000000
    0.024542,	   80.745622,	   72.907706,	   68.944347,	    0.306900,	    0.278230,	    0.261712,	  137.540740,	  116.695577,	  131.266231,	   51.333465,	16588.712138,	   -5.256942,	    1.000000,	   -0.000000,	    0.000000
    0.024958,	   82.903507,	   72.957893,	   72.218567,	    0.315245,	    0.278359,	    0.273844,	  138.478048,	  119.179527,	  137.310494,	   51.985461,	17411.367036,	   -5.417177,	    1.000000,	   -0.000000,	    0.000000
    0.025375,	   84.637327,	   73.187410,	   75.742966,	    0.322010,	    0.279086,	    0.286990,	  138.934341,	  122.569616,	  142.984443,	   56.171661,	18256.870903,	   -5.719691,	    1.000000,	   -0.000000,	    0.000000
    0.025792,	   85.944170,	   73.723753,	   79.396388,	    0.327179,	    0.280884,	    0.300693,	  139.066163,	  126.852498,	  148.139063,	   53.537956,	19125.378549,	   -5.764157,	    1.000000,	   -0.000000,	    0.000000
    0.026208,	   86.847356,	   74.675142,	   83.053673,	    0.330829,	    0.284159,	    0.314485,	  139.067493,	  131.932240,	  152.657705,	   50.037061,	20016.752749,	   -5.932768,	    1.000000,	   -0.000000,	    0.000000
    0.026625,	   87.397313,	   76.112605,	   86.595222,	    0.333118,	    0.289221,	    0.327933,	  139.154969,	  137.642406,	  156.463787,	   52.165520,	20930.151413,	   -6.969328,	    1.000000,	   -0.000000,	    0.000000
    0.027042,	   87.665370,	   78.069565,	   89.918820,	    0.334288,	    0.296251,	    0.340649,	  139.551976,	  143.789031,	  159.519170,	   55.798322,	21865.468223,	   -8.962633,	    1.000000,	   -0.000000,	    0.000000
    0.027458,	   87.743707,	   80.540565,	   92.940266,	    0.334674,	    0.305263,	    0.352291,	  140.476291,	  150.167883,	  161.823731,	   53.200864,	22823.633780,	  -10.347491,	    1.000000,	   -0.000000,	    0.000000
    0.027875,	   87.744612,	   83.481213,	   95.593129,	    0.334691,	    0.316075,	    0.362576,	  142.121122,	  156.573311,	  163.417299,	   48.590537,	23806.276232,	   -9.415404,	    1.000000,	   -0.000000,	    0.000000
    0.028292,	   87.795707,	   86.804179,	   97.828350,	    0.334804,	    0.328345,	    0.371303,	  144.622672,	  162.796244,	  164.383634,	   49.760074,	24813.437798,	   -7.778314,	    1.000000,	   -0.000000,	    0.000000
    0.028708,	   88.028620,	   90.388407,	   99.618730,	    0.335499,	    0.341654,	    0.378367,	  148.034836,	  168.638290,	  164.850825,	   54.404906,	25842.993349,	   -7.169816,	    1.000000,	    0.000000,	   -0.000000
    0.029125,	   88.567402,	   94.105100,	  100.964798,	    0.337246,	    0.355562,	    0.383762,	  152.335219,	  173.940035,	  164.986000,	   54.115582,	26893.844992,	   -7.276819,	    1.000000,	   -0.000000,	   -0.000000
