[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.000000,	 0.003\90.000,	 0.004\270.000,	   -1.#IND00,	   -1.#IND00,	   -0.001280,	  180.000003,	   -1.#IND00,	   -1.#IND00
    0.000000,	 0.027\90.709,	 0.033\272.521,	   -1.#IND00,	   -1.#IND00,	   -0.006457,	  178.187762,	   -1.#IND00,	   -1.#IND00
    0.000375,	 0.106\92.061,	 0.099\278.095,	   -1.#IND00,	   -1.#IND00,	    0.006328,	  173.966277,	   -1.#IND00,	   -1.#IND00
    0.000792,	 0.259\93.894,	 0.178\286.498,	   -1.#IND00,	   -1.#IND00,	    0.080470,	  167.395652,	   -1.#IND00,	   -1.#IND00
    0.001208,	 0.476\96.156,	 0.241\297.709,	   -1.#IND00,	   -1.#IND00,	    0.235343,	  158.447025,	   -1.#IND00,	   -1.#IND00
    0.001625,	 0.734\98.819,	 0.277\311.992,	   65.389422,	   -1.#IND00,	    0.456773,	  146.827474,	   -1.#IND00,	   -1.#IND00
    0.002042,	 1.005\101.842,	 0.289\329.711,	   -1.#IND00,	   -1.#IND00,	    0.715136,	  132.131376,	   -1.#IND00,	   -1.#IND00
    0.002458,	 1.266\105.241,	 0.289\352.945,	   -1.#IND00,	   -1.#IND00,	    0.976768,	  112.295870,	   -1.#IND00,	   -1.#IND00
    0.002875,	 1.489\109.180,	 0.305\24.155,	   83.440395,	   -1.#IND00,	    1.184003,	   85.024823,	   -1.#IND00,	   -1.#IND00
    0.003292,	 1.658\113.792,	 0.367\55.214,	   98.291340,	   -1.#IND00,	    1.290297,	   58.578041,	   -1.#IND00,	   -1.#IND00
    0.003708,	 1.780\118.932,	 0.446\79.910,	   34.324473,	   -1.#IND00,	    1.333599,	   39.021803,	   -1.#IND00,	   -1.#IND00
    0.004125,	 1.873\124.341,	 0.522\100.578,	   -1.#IND00,	   -1.#IND00,	    1.351306,	   23.763271,	   -1.#IND00,	   -1.#IND00
    0.004542,	 1.942\130.054,	 0.605\118.109,	   48.488780,	   -1.#IND00,	    1.337182,	   11.944796,	   -1.#IND00,	   -1.#IND00
    0.004958,	 1.973\136.586,	 0.697\132.149,	  102.314908,	   -1.#IND00,	    1.276233,	    4.436329,	   -1.#IND00,	   -1.#IND00
    0.005375,	 1.957\144.747,	 0.783\143.479,	   87.819740,	   -1.#IND00,	    1.173273,	    1.267837,	   -1.#IND00,	   -1.#IND00
    0.005792,	 1.906\155.269,	 0.847\153.803,	   -1.#IND00,	   -1.#IND00,	    1.059370,	    1.466261,	   -1.#IND00,	   -1.#IND00
    0.006208,	 1.857\168.693,	 0.882\163.382,	   18.519170,	   -1.#IND00,	    0.974774,	    5.310489,	   -1.#IND00,	   -1.#IND00
    0.006625,	 1.860\185.159,	 0.890\170.526,	   87.631872,	   -1.#IND00,	    0.970726,	   14.633192,	   -1.#IND00,	   -1.#IND00
    0.007042,	 1.977\203.369,	 0.870\175.158,	   73.330038,	   -1.#IND00,	    1.107487,	   28.211030,	   -1.#IND00,	   -1.#IND00
    0.007458,	 2.239\220.704,	 0.829\179.542,	   -1.#IND00,	   -1.#IND00,	    1.409915,	   41.161967,	   -1.#IND00,	   -1.#IND00
    0.007875,	 2.630\235.428,	 0.772\185.347,	   52.704210,	   -1.#IND00,	    1.857919,	   50.081272,	   -1.#IND00,	   -1.#IND00
    0.008292,	 3.121\247.451,	 0.700\192.844,	   78.194051,	   -1.#IND00,	    2.420989,	   54.607845,	   -1.#IND00,	   -1.#IND00
    0.008708,	 3.696\257.336,	 0.614\201.740,	   56.408581,	   -1.#IND00,	    3.081367,	   55.595652,	   -1.#IND00,	   -1.#IND00
    0.009125,	 4.339\265.603,	 0.532\214.124,	   -1.#IND00,	   -1.#IND00,	    3.807639,	   51.479580,	   -1.#IND00,	   -1.#IND00
    0.009542,	 5.021\272.682,	 0.493\233.620,	   48.770782,	   76.478945,	    4.527933,	   39.061744,	  -27.708163,	 -174.095520
    0.009958,	 5.708\278.946,	 0.519\256.812,	   74.128823,	  105.403388,	    5.189109,	   22.133805,	  -31.274565,	 -196.503882
    0.010375,	 6.374\284.685,	 0.582\278.288,	   59.928489,	   74.998398,	    5.792116,	    6.397269,	  -15.069909,	  -94.687031
    0.010792,	 6.999\290.115,	 0.676\296.172,	   18.526186,	   86.334918,	    6.323371,	   -6.057489,	  -67.808732,	 -426.054823
    0.011208,	 7.560\295.413,	 0.802\309.231,	   53.903587,	   54.931040,	    6.757611,	  -13.818696,	   -1.027453,	   -6.455677
    0.011625,	 8.039\300.731,	 0.955\317.750,	   72.634170,	   -1.#IND00,	    7.083970,	  -17.019091,	   -1.#IND00,	   -1.#IND00
    0.012042,	 8.427\306.177,	 1.115\323.708,	   60.619282,	   -1.#IND00,	    7.312626,	  -17.530920,	   -1.#IND00,	   -1.#IND00
    0.012458,	 8.728\311.821,	 1.263\328.973,	   26.359061,	   48.315221,	    7.464787,	  -17.152836,	  -21.956160,	 -137.954618
    0.012875,	 8.941\317.760,	 1.397\333.410,	   52.761925,	   -1.#IND00,	    7.543540,	  -15.650079,	   -1.#IND00,	   -1.#IND00
    0.013292,	 9.062\324.164,	 1.518\336.611,	   73.534673,	   -1.#IND00,	    7.544287,	  -12.447094,	   -1.#IND00,	   -1.#IND00
