[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.000000,	 0.003\90.000,	 0.003\90.000,	   -1.#IND00,	   -1.#IND00,	    0.000000,	    0.000000,	   -1.#IND00,	   -1.#IND00
    0.000000,	 0.027\90.709,	 0.024\92.297,	   -1.#IND00,	   -1.#IND00,	    0.002534,	   -1.588014,	   -1.#IND00,	   -1.#IND00
    0.000375,	 0.106\92.061,	 0.080\97.268,	   -1.#IND00,	   -1.#IND00,	    0.025822,	   -5.206471,	   -1.#IND00,	   -1.#IND00
    0.000792,	 0.259\93.894,	 0.161\104.233,	   -1.#IND00,	   -1.#IND00,	    0.097259,	  -10.338970,	   -1.#IND00,	   -1.#IND00
    0.001208,	 0.476\96.156,	 0.250\112.678,	   -1.#IND00,	   -1.#IND00,	    0.226139,	  -16.522136,	   -1.#IND00,	   -1.#IND00
    0.001625,	 0.734\98.819,	 0.333\122.181,	   65.389422,	   -1.#IND00,	    0.400331,	  -23.362142,	   -1.#IND00,	   -1.#IND00
    0.002042,	 1.005\101.842,	 0.404\132.377,	   -1.#IND00,	   -1.#IND00,	    0.601008,	  -30.534779,	   -1.#IND00,	   -1.#IND00
    0.002458,	 1.266\105.241,	 0.454\143.648,	   -1.#IND00,	   -1.#IND00,	    0.812046,	  -38.407371,	   -1.#IND00,	   -1.#IND00
    0.002875,	 1.489\109.180,	 0.477\157.420,	   83.440395,	   -1.#IND00,	    1.012198,	  -48.239543,	   -1.#IND00,	   -1.#IND00
    0.003292,	 1.658\113.792,	 0.480\173.756,	   98.291340,	   -1.#IND00,	    1.177643,	  -59.963956,	   -1.#IND00,	   -1.#IND00
    0.003708,	 1.780\118.932,	 0.469\190.913,	   34.324473,	   -1.#IND00,	    1.310444,	  -71.981408,	   -1.#IND00,	   -1.#IND00
    0.004125,	 1.873\124.341,	 0.446\208.692,	   -1.#IND00,	   -1.#IND00,	    1.427008,	  -84.350783,	   -1.#IND00,	   -1.#IND00
    0.004542,	 1.942\130.054,	 0.424\228.709,	   48.488780,	   -1.#IND00,	    1.518029,	  -98.654224,	   -1.#IND00,	   -1.#IND00
    0.004958,	 1.973\136.586,	 0.426\251.297,	  102.314908,	  132.378254,	    1.546890,	 -114.710972,	  -30.063347,	 -188.893576
    0.005375,	 1.957\144.747,	 0.466\273.469,	   87.819740,	   48.910596,	    1.490511,	 -128.722217,	   38.909144,	  244.473357
    0.005792,	 1.906\155.269,	 0.532\292.561,	   -1.#IND00,	   -1.#IND00,	    1.374399,	 -137.291570,	   -1.#IND00,	   -1.#IND00
    0.006208,	 1.857\168.693,	 0.611\308.048,	   18.519170,	   -1.#IND00,	    1.245880,	 -139.355572,	   -1.#IND00,	   -1.#IND00
    0.006625,	 1.860\185.159,	 0.704\319.064,	   87.631872,	   -1.#IND00,	    1.156046,	 -133.904519,	   -1.#IND00,	   -1.#IND00
    0.007042,	 1.977\203.369,	 0.805\326.061,	   73.330038,	   -1.#IND00,	    1.171970,	 -122.692291,	   -1.#IND00,	   -1.#IND00
    0.007458,	 2.239\220.704,	 0.901\331.193,	   -1.#IND00,	   -1.#IND00,	    1.337968,	 -110.489403,	   -1.#IND00,	   -1.#IND00
    0.007875,	 2.630\235.428,	 0.982\335.806,	   52.704210,	   -1.#IND00,	    1.647988,	 -100.377331,	   -1.#IND00,	   -1.#IND00
    0.008292,	 3.121\247.451,	 1.044\340.049,	   78.194051,	   -1.#IND00,	    2.076995,	  -92.597135,	   -1.#IND00,	   -1.#IND00
    0.008708,	 3.696\257.336,	 1.087\343.606,	   56.408581,	   -1.#IND00,	    2.608958,	  -86.270231,	   -1.#IND00,	   -1.#IND00
    0.009125,	 4.339\265.603,	 1.109\346.993,	   -1.#IND00,	   -1.#IND00,	    3.230242,	  -81.389994,	   -1.#IND00,	   -1.#IND00
    0.009542,	 5.021\272.682,	 1.106\351.539,	   48.770782,	   -1.#IND00,	    3.915133,	  -78.857474,	   -1.#IND00,	   -1.#IND00
    0.009958,	 5.708\278.946,	 1.074\357.273,	   74.128823,	   -1.#IND00,	    4.633532,	  -78.326427,	   -1.#IND00,	   -1.#IND00
    0.010375,	 6.374\284.685,	 1.012\ 3.108,	   59.928489,	   -1.#IND00,	    5.361954,	  -78.423184,	   -1.#IND00,	   -1.#IND00
    0.010792,	 6.999\290.115,	 0.924\ 8.969,	   18.526186,	   -1.#IND00,	    6.074804,	  -78.854435,	   -1.#IND00,	   -1.#IND00
    0.011208,	 7.560\295.413,	 0.820\16.088,	   53.903587,	   -1.#IND00,	    6.739431,	  -80.675299,	   -1.#IND00,	   -1.#IND00
    0.011625,	 8.039\300.731,	 0.716\26.382,	   72.634170,	   -1.#IND00,	    7.322670,	  -85.651387,	   -1.#IND00,	   -1.#IND00
    0.012042,	 8.427\306.177,	 0.627\41.310,	   60.619282,	   -1.#IND00,	    7.800533,	  -95.133071,	   -1.#IND00,	   -1.#IND00
    0.012458,	 8.728\311.821,	 0.569\60.924,	   26.359061,	   -1.#IND00,	    8.158844,	 -109.103223,	   -1.#IND00,	   -1.#IND00
    0.012875,	 8.941\317.760,	 0.574\83.484,	   52.761925,	   53.407794,	    8.366115,	 -125.724044,	   -0.645868,	   -4.058111
