[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.016208,	 9.623\30.751,	 1.541\ 1.169,	   54.520839,	   -1.#IND00,	    8.081808,	   29.582108,	   -1.#IND00,	   -1.#IND00
    0.016625,	10.190\42.133,	 1.420\ 6.417,	   66.874073,	   -1.#IND00,	    8.769736,	   35.716484,	   -1.#IND00,	   -1.#IND00
    0.017042,	10.967\53.004,	 1.274\12.598,	   57.232084,	   -1.#IND00,	    9.693716,	   40.405926,	   -1.#IND00,	   -1.#IND00
    0.017458,	11.940\63.111,	 1.115\20.810,	   35.229132,	   -1.#IND00,	   10.824888,	   42.300825,	   -1.#IND00,	   -1.#IND00
    0.017875,	13.069\72.345,	 0.964\32.708,	   52.384265,	   -1.#IND00,	   12.105194,	   39.636867,	   -1.#IND00,	   -1.#IND00
    0.018292,	14.306\80.731,	 0.851\49.728,	   63.786201,	   -1.#IND00,	   13.455052,	   31.003257,	   -1.#IND00,	   -1.#IND00
    0.018708,	15.601\88.378,	 0.804\71.147,	   56.279841,	   -1.#IND00,	   14.797406,	   17.230833,	   -1.#IND00,	   -1.#IND00
    0.019125,	16.911\95.421,	 0.843\93.476,	   39.114340,	   57.447252,	   16.068005,	    1.944762,	  -18.332912,	 -115.189082
    0.019542,	18.189\101.999,	 0.982\112.081,	   52.367147,	  108.165519,	   17.206504,	  -10.081970,	  -55.798371,	 -350.591502
    0.019958,	19.375\108.262,	 1.196\125.196,	   64.068020,	  141.878018,	   18.178249,	  -16.933665,	  -77.809999,	 -488.894632
    0.020375,	20.408\114.371,	 1.443\134.494,	   61.069556,	  148.274792,	   18.964738,	  -20.123762,	  -87.205236,	 -547.926650
    0.020792,	21.252\120.466,	 1.697\141.521,	   48.365915,	  100.573627,	   19.555573,	  -21.055180,	  -52.207712,	 -328.030722
    0.021208,	21.903\126.648,	 1.944\147.016,	   53.964056,	   78.670830,	   19.958853,	  -20.368131,	  -24.706774,	 -155.237236
    0.021625,	22.373\132.993,	 2.179\151.321,	   61.304175,	  105.515071,	   20.193301,	  -18.328432,	  -44.210896,	 -277.785245
    0.022042,	22.678\139.567,	 2.394\154.807,	   58.245681,	  101.014663,	   20.283334,	  -15.240034,	  -42.768982,	 -268.725436
    0.022458,	22.846\146.423,	 2.578\158.078,	   46.227317,	   -1.#IND00,	   20.267356,	  -11.655690,	   -1.#IND00,	   -1.#IND00
    0.022875,	22.913\153.583,	 2.722\161.287,	   50.660221,	   -1.#IND00,	   20.190530,	   -7.704505,	   -1.#IND00,	   -1.#IND00
    0.023292,	22.913\161.080,	 2.823\164.170,	   58.739558,	   -1.#IND00,	   20.089769,	   -3.090060,	   -1.#IND00,	   -1.#IND00
    0.023708,	22.880\168.997,	 2.880\166.782,	   59.330921,	   -1.#IND00,	   19.999577,	    2.214402,	   -1.#IND00,	   -1.#IND00
    0.024125,	22.860\177.411,	 2.892\169.405,	   51.333465,	   -1.#IND00,	   19.968563,	    8.006293,	   -1.#IND00,	   -1.#IND00
    0.024542,	22.916\186.316,	 2.856\172.262,	   51.985461,	   -1.#IND00,	   20.059917,	   14.054178,	   -1.#IND00,	   -1.#IND00
    0.024958,	23.103\195.595,	 2.770\175.451,	   56.171661,	   -1.#IND00,	   20.332990,	   20.143853,	   -1.#IND00,	   -1.#IND00
    0.025375,	23.464\205.081,	 2.636\178.886,	   53.537956,	   -1.#IND00,	   20.828169,	   26.195376,	   -1.#IND00,	   -1.#IND00
    0.025792,	24.023\214.611,	 2.457\182.746,	   50.037061,	   -1.#IND00,	   21.565575,	   31.864661,	   -1.#IND00,	   -1.#IND00
    0.026208,	24.786\224.028,	 2.242\187.621,	   52.165520,	   -1.#IND00,	   22.543873,	   36.406786,	   -1.#IND00,	   -1.#IND00
    0.026625,	25.738\233.193,	 1.998\193.957,	   55.798322,	   -1.#IND00,	   23.739926,	   39.235915,	   -1.#IND00,	   -1.#IND00
    0.027042,	26.853\242.019,	 1.737\202.248,	   53.200864,	   -1.#IND00,	   25.115931,	   39.771471,	   -1.#IND00,	   -1.#IND00
