[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.000000,	 0.003\90.000,	 0.003\90.000,	   -1.#IND00,	   -1.#IND00,	    0.000000,	    0.000000,	   -1.#IND00,	   -1.#IND00
    0.000000,	 0.027\90.709,	 0.024\92.297,	   -1.#IND00,	   -1.#IND00,	    0.002533,	   -1.588081,	   -1.#IND00,	   -1.#IND00
    0.000375,	 0.106\92.061,	 0.080\97.268,	   -1.#IND00,	   -1.#IND00,	    0.025820,	   -5.206566,	   -1.#IND00,	   -1.#IND00
    0.000792,	 0.259\93.894,	 0.161\104.233,	   -1.#IND00,	   -1.#IND00,	    0.097255,	  -10.339092,	   -1.#IND00,	   -1.#IND00
    0.001208,	 0.476\96.156,	 0.250\112.678,	   -1.#IND00,	   -1.#IND00,	    0.226134,	  -16.522283,	   -1.#IND00,	   -1.#IND00
    0.001625,	 0.734\98.819,	 0.333\122.181,	   -1.#IND00,	   -1.#IND00,	    0.400325,	  -23.362311,	   -1.#IND00,	   -1.#IND00
    0.002042,	 1.005\101.842,	 0.404\132.377,	   -1.#IND00,	   -1.#IND00,	    0.601001,	  -30.534974,	   -1.#IND00,	   -1.#IND00
    0.002458,	 1.266\105.241,	 0.454\143.648,	   -1.#IND00,	   -1.#IND00,	    0.812039,	  -38.407591,	   -1.#IND00,	   -1.#IND00
    0.002875,	 1.489\109.180,	 0.477\157.420,	   -1.#IND00,	   -1.#IND00,	    1.012191,	  -48.239760,	   -1.#IND00,	   -1.#IND00
    0.003292,	 1.658\113.792,	 0.480\173.756,	   57.358097,	   -1.#IND00,	    1.177636,	  -59.964115,	   -1.#IND00,	   -1.#IND00
    0.003708,	 1.780\118.932,	 0.469\190.913,	   76.368733,	   -1.#IND00,	    1.310437,	  -71.981494,	   -1.#IND00,	   -1.#IND00
    0.004125,	 1.873\124.341,	 0.446\208.692,	   84.334177,	   -1.#IND00,	    1.427002,	  -84.350834,	   -1.#IND00,	   -1.#IND00
    0.004542,	 1.942\130.054,	 0.424\228.709,	   88.365847,	    5.010722,	    1.518023,	  -98.654286,	   83.355125,	  523.735689
    0.004958,	 1.973\136.586,	 0.426\251.297,	   91.223327,	   76.732586,	    1.546883,	 -114.711052,	   14.490742,	   91.048013
    0.005375,	 1.957\144.747,	 0.466\273.469,	   93.104119,	   98.203667,	    1.490503,	 -128.722286,	   -5.099548,	  -32.041406
    0.005792,	 1.906\155.269,	 0.532\292.561,	   94.190369,	   91.339337,	    1.374390,	 -137.291613,	    2.851032,	   17.913564
    0.006208,	 1.857\168.693,	 0.611\308.048,	   96.271239,	   74.788964,	    1.245869,	 -139.355580,	   21.482276,	  134.977116
    0.006625,	 1.860\185.159,	 0.704\319.064,	   86.874978,	   30.510377,	    1.156033,	 -133.904490,	   56.364601,	  354.149225
    0.007042,	 1.977\203.369,	 0.805\326.061,	   -1.#IND00,	   -1.#IND00,	    1.171955,	 -122.692247,	   -1.#IND00,	   -1.#IND00
    0.007458,	 2.239\220.704,	 0.901\331.193,	   -1.#IND00,	   -1.#IND00,	    1.337952,	 -110.489364,	   -1.#IND00,	   -1.#IND00
    0.007875,	 2.630\235.428,	 0.982\335.806,	   -1.#IND00,	   -1.#IND00,	    1.647969,	 -100.377299,	   -1.#IND00,	   -1.#IND00
    0.008292,	 3.121\247.451,	 1.044\340.049,	   -1.#IND00,	   -1.#IND00,	    2.076976,	  -92.597109,	   -1.#IND00,	   -1.#IND00
    0.008708,	 3.696\257.336,	 1.087\343.606,	   -1.#IND00,	   -1.#IND00,	    2.608938,	  -86.270223,	   -1.#IND00,	   -1.#IND00
    0.009125,	 4.339\265.603,	 1.109\346.993,	   -1.#IND00,	   -1.#IND00,	    3.230222,	  -81.390018,	   -1.#IND00,	   -1.#IND00
    0.009542,	 5.021\272.682,	 1.106\351.539,	   29.735587,	   -1.#IND00,	    3.915112,	  -78.857514,	   -1.#IND00,	   -1.#IND00
    0.009958,	 5.708\278.946,	 1.074\357.273,	   48.356799,	   -1.#IND00,	    4.633512,	  -78.326450,	   -1.#IND00,	   -1.#IND00
    0.010375,	 6.374\284.685,	 1.012\ 3.108,	   57.466284,	   -1.#IND00,	    5.361936,	  -78.423179,	   -1.#IND00,	   -1.#IND00
    0.010792,	 6.999\290.115,	 0.924\ 8.969,	   62.110811,	   -1.#IND00,	    6.074787,	  -78.854418,	   -1.#IND00,	   -1.#IND00
    0.011208,	 7.560\295.413,	 0.820\16.088,	   64.417836,	   -1.#IND00,	    6.739416,	  -80.675290,	   -1.#IND00,	   -1.#IND00
    0.011625,	 8.039\300.731,	 0.716\26.382,	   65.486364,	   -1.#IND00,	    7.322656,	  -85.651390,	   -1.#IND00,	   -1.#IND00
    0.012042,	 8.427\306.177,	 0.627\41.310,	   66.266931,	   -1.#IND00,	    7.800522,	  -95.133077,	   -1.#IND00,	   -1.#IND00
    0.012458,	 8.728\311.821,	 0.569\60.924,	   67.164447,	   37.246853,	    8.158833,	 -109.103237,	   29.917595,	  187.977788
    0.012875,	 8.941\317.760,	 0.574\83.484,	   68.148610,	   54.419613,	    8.366104,	 -125.724061,	   13.728998,	   86.261835
    0.013292,	 9.062\324.164,	 0.666\103.748,	   66.098535,	   69.615307,	    8.396845,	 -139.583972,	   -3.516772,	  -22.096530
    0.013708,	 9.102\331.207,	 0.817\118.801,	   56.629118,	   82.058766,	    8.284968,	 -147.594089,	  -25.429648,	 -159.779188
    0.014125,	 9.082\339.033,	 0.993\129.959,	   37.491726,	   91.867145,	    8.089186,	 -150.926419,	  -54.375419,	 -341.650828
    0.014542,	 9.038\347.746,	 1.175\138.538,	   29.011726,	   97.824862,	    7.863524,	 -150.792193,	  -68.813137,	 -432.365683
    0.014958,	 9.016\357.405,	 1.355\145.036,	   25.071826,	   83.821615,	    7.660769,	 -147.631402,	  -58.749789,	 -369.135805
    0.015375,	 9.071\ 7.972,	 1.532\149.750,	   32.282830,	   64.393289,	    7.538733,	 -141.777677,	  -32.110459,	 -201.755964
    0.015792,	 9.258\19.222,	 1.696\153.504,	   43.880876,	   31.349938,	    7.561973,	 -134.282705,	   12.530939,	   78.734208
    0.016208,	 9.623\30.751,	 1.838\157.053,	   26.884794,	   -1.#IND00,	    7.784884,	 -126.301060,	   -1.#IND00,	   -1.#IND00
    0.016625,	10.190\42.133,	 1.951\160.346,	   26.434458,	   -1.#IND00,	    8.238474,	 -118.212792,	   -1.#IND00,	   -1.#IND00
    0.017042,	10.967\53.004,	 2.035\163.266,	   44.129161,	   -1.#IND00,	    8.932299,	 -110.261550,	   -1.#IND00,	   -1.#IND00
    0.017458,	11.940\63.111,	 2.086\166.076,	   50.873183,	   -1.#IND00,	    9.853609,	 -102.965576,	   -1.#IND00,	   -1.#IND00
    0.017875,	13.069\72.345,	 2.101\169.082,	   53.805076,	   -1.#IND00,	   10.968467,	  -96.736779,	   -1.#IND00,	   -1.#IND00
    0.018292,	14.306\80.731,	 2.076\172.437,	   55.008883,	   -1.#IND00,	   12.229961,	  -91.706357,	   -1.#IND00,	   -1.#IND00
    0.018708,	15.601\88.378,	 2.011\175.993,	   55.806123,	   -1.#IND00,	   13.590400,	  -87.615302,	   -1.#IND00,	   -1.#IND00
    0.019125,	16.911\95.421,	 1.907\179.630,	   56.504538,	   -1.#IND00,	   15.004202,	  -84.209210,	   -1.#IND00,	   -1.#IND00
    0.019542,	18.189\101.999,	 1.771\183.855,	   57.052970,	   -1.#IND00,	   16.418427,	  -81.855274,	   -1.#IND00,	   -1.#IND00
    0.019958,	19.375\108.262,	 1.608\189.346,	   56.344807,	   -1.#IND00,	   17.766848,	  -81.083887,	   -1.#IND00,	   -1.#IND00
    0.020375,	20.408\114.371,	 1.425\196.537,	   53.738740,	   -1.#IND00,	   18.982921,	  -82.166633,	   -1.#IND00,	   -1.#IND00
    0.020792,	21.252\120.466,	 1.233\206.163,	   50.833094,	   -1.#IND00,	   20.019215,	  -85.697005,	   -1.#IND00,	   -1.#IND00
    0.021208,	21.903\126.648,	 1.056\219.570,	   51.776984,	   -1.#IND00,	   20.846850,	  -92.921885,	   -1.#IND00,	   -1.#IND00
    0.021625,	22.373\132.993,	 0.938\238.146,	   52.665797,	   29.513218,	   21.435029,	 -105.153526,	   23.152578,	  145.471937
    0.022042,	22.678\139.567,	 0.927\260.536,	   53.950328,	   48.507827,	   21.750987,	 -120.969305,	    5.442502,	   34.196246
    0.022458,	22.846\146.423,	 1.035\281.652,	   55.733050,	   60.934147,	   21.810495,	 -135.229321,	   -5.201097,	  -32.679453
    0.022875,	22.913\153.583,	 1.233\298.106,	   50.514921,	   70.971013,	   21.679054,	 -144.523337,	  -20.456092,	 -128.529415
    0.023292,	22.913\161.080,	 1.490\309.780,	   46.764253,	   80.565783,	   21.423088,	 -148.699647,	  -33.801529,	 -212.381268
    0.023708,	22.880\168.997,	 1.775\317.996,	   48.720398,	   90.075257,	   21.105138,	 -148.999296,	  -41.354859,	 -259.840235
    0.024125,	22.860\177.411,	 2.065\324.108,	   50.433811,	   99.377876,	   20.795441,	 -146.696291,	  -48.944064,	 -307.524621
    0.024542,	22.916\186.316,	 2.344\328.982,	   51.901564,	   90.158070,	   20.571568,	 -142.666116,	  -38.256507,	 -240.372716
    0.024958,	23.103\195.595,	 2.600\333.072,	   53.130849,	   75.716732,	   20.503053,	 -137.476895,	  -22.585883,	 -141.911286
    0.025375,	23.464\205.081,	 2.826\336.518,	   54.493679,	   52.453295,	   20.637570,	 -131.437166,	    2.040384,	   12.820113
    0.025792,	24.023\214.611,	 3.017\339.510,	   56.081913,	   -1.#IND00,	   21.005852,	 -124.899010,	   -1.#IND00,	   -1.#IND00
    0.026208,	24.786\224.028,	 3.164\342.349,	   45.224998,	   -1.#IND00,	   21.622154,	 -118.320890,	   -1.#IND00,	   -1.#IND00
    0.026625,	25.738\233.193,	 3.262\345.133,	   47.525194,	   -1.#IND00,	   22.476567,	 -111.940028,	   -1.#IND00,	   -1.#IND00
    0.027042,	26.853\242.019,	 3.307\347.834,	   49.041622,	   -1.#IND00,	   23.545381,	 -105.814926,	   -1.#IND00,	   -1.#IND00
    0.027458,	28.102\250.468,	 3.299\350.508,	   50.229664,	   -1.#IND00,	   24.803194,	 -100.040071,	   -1.#IND00,	   -1.#IND00
    0.027875,	29.453\258.527,	 3.236\353.288,	   51.261981,	   -1.#IND00,	   26.216367,	  -94.761266,	   -1.#IND00,	   -1.#IND00
