[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
	TIME		V-local		P-local		P-remote		V-local		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.000000,	    0.006753,	   90.000002,	    0.006752,	   90.000002,	   -1.#IND00,	   -1.#IND00,	    0.000000,	    0.000000,	   -1.#IND00,	   -1.#IND00
    0.015375,	   50.691979,	  316.473100,	   50.691005,	  316.473071,	   45.054176,	   53.563532,	    0.000973,	    0.000028,	   -8.509356,	  -53.465861
    0.015792,	   52.075840,	  321.929210,	   52.074840,	  321.929184,	   43.677741,	   50.661116,	    0.001000,	    0.000027,	   -6.983375,	  -43.877840
    0.016208,	   53.029538,	  327.727364,	   53.028519,	  327.727339,	   51.792193,	   44.143131,	    0.001018,	    0.000025,	    7.649062,	   48.060475
    0.016625,	   53.585469,	  333.969131,	   53.584440,	  333.969108,	   52.767879,	   35.879161,	    0.001029,	    0.000023,	   16.888718,	  106.114943
    0.017042,	   53.814001,	  340.756435,	   53.812968,	  340.756413,	   48.696088,	   40.192968,	    0.001034,	    0.000022,	    8.503120,	   53.426676
    0.017458,	   53.829012,	  348.179822,	   53.827978,	  348.179802,	   47.144715,	   43.834963,	    0.001034,	    0.000020,	    3.309752,	   20.795784
    0.017875,	   53.788003,	  356.302930,	   53.786969,	  356.302912,	   54.100523,	   46.891985,	    0.001034,	    0.000018,	    7.208538,	   45.292580
    0.018292,	   53.886444,	    5.142227,	   53.885408,	    5.142212,	   50.549745,	   49.550552,	    0.001036,	    0.000015,	    0.999193,	    6.278116
    0.018708,	   54.346660,	   14.649082,	   54.345615,	   14.649070,	   46.192329,	   52.226510,	    0.001045,	    0.000013,	   -6.034181,	  -37.913877
    0.019125,	   55.393671,	   24.673751,	   55.392607,	   24.673741,	   44.691122,	   54.819930,	    0.001064,	    0.000010,	  -10.128808,	  -63.641178
    0.019542,	   57.211185,	   34.960512,	   57.210087,	   34.960505,	   52.095596,	   57.377426,	    0.001098,	    0.000007,	   -5.281829,	  -33.186712
    0.019958,	   59.884876,	   45.186237,	   59.883729,	   45.186233,	   50.785101,	   36.931484,	    0.001147,	    0.000004,	   13.853617,	   87.044841
    0.020375,	   63.393581,	   55.066265,	   63.392370,	   55.066263,	   48.518873,	   41.601730,	    0.001211,	    0.000002,	    6.917143,	   43.461692
    0.020792,	   67.637307,	   64.417161,	   67.636017,	   64.417160,	   46.910689,	   45.345646,	    0.001289,	    0.000001,	    1.565043,	    9.833455
    0.021208,	   72.464631,	   73.159131,	   72.463252,	   73.159131,	   51.958816,	   48.015042,	    0.001379,	    0.000000,	    3.943774,	   24.779462
    0.021625,	   77.689225,	   81.292366,	   77.687748,	   81.292366,	   50.668746,	   49.858853,	    0.001477,	   -0.000000,	    0.809892,	    5.088704
    0.022042,	   83.115111,	   88.871213,	   83.113531,	   88.871213,	   48.935406,	   51.357945,	    0.001580,	   -0.000000,	   -2.422539,	  -15.221261
    0.022458,	   88.571436,	   95.977246,	   88.569751,	   95.977246,	   47.110685,	   50.260303,	    0.001684,	   -0.000000,	   -3.149619,	  -19.789639
    0.022875,	   93.912777,	  102.697510,	   93.910991,	  102.697511,	   50.478190,	   47.481962,	    0.001787,	   -0.000000,	    2.996228,	   18.825856
    0.023292,	   98.981466,	  109.121795,	   98.979582,	  109.121795,	   49.942564,	   44.544208,	    0.001884,	   -0.000000,	    5.398356,	   33.918867
    0.023708,	  103.621856,	  115.342757,	  103.619884,	  115.342758,	   49.809599,	   46.099631,	    0.001973,	   -0.000000,	    3.709968,	   23.310416
    0.024125,	  107.714491,	  121.448314,	  107.712439,	  121.448315,	   48.644796,	   47.460022,	    0.002051,	   -0.000001,	    1.184775,	    7.444158
    0.024542,	  111.189996,	  127.515073,	  111.187877,	  127.515074,	   50.784612,	   48.686240,	    0.002119,	   -0.000001,	    2.098371,	   13.184457
    0.024958,	  114.018937,	  133.609850,	  114.016762,	  133.609852,	   49.612090,	   49.797189,	    0.002174,	   -0.000002,	   -0.185099,	   -1.163012
    0.025375,	  116.196510,	  139.797197,	  116.194292,	  139.797200,	   49.444503,	   50.943121,	    0.002218,	   -0.000003,	   -1.498619,	   -9.416099
    0.025792,	  117.745751,	  146.141137,	  117.743501,	  146.141141,	   48.775583,	   52.147535,	    0.002250,	   -0.000004,	   -3.371952,	  -21.186598
    0.026208,	  118.733351,	  152.695070,	  118.731080,	  152.695076,	   50.621084,	   53.404738,	    0.002270,	   -0.000006,	   -2.783655,	  -17.490218
    0.026625,	  119.258796,	  159.505582,	  119.256513,	  159.505590,	   49.244535,	   44.825441,	    0.002282,	   -0.000008,	    4.419095,	   27.765991
    0.027042,	  119.447693,	  166.618596,	  119.445407,	  166.618606,	   49.445083,	   46.028252,	    0.002287,	   -0.000010,	    3.416830,	   21.468577
    0.027458,	  119.457806,	  174.071700,	  119.455518,	  174.071711,	   49.337533,	   47.429516,	    0.002287,	   -0.000012,	    1.908017,	   11.988423
    0.027875,	  119.477117,	  181.879155,	  119.474830,	  181.879169,	   51.119545,	   48.705906,	    0.002287,	   -0.000014,	    2.413639,	   15.165344
    0.028292,	  119.706324,	  190.021550,	  119.704034,	  190.021567,	   49.278862,	   49.842802,	    0.002291,	   -0.000016,	   -0.563940,	   -3.543340
    0.028708,	  120.335893,	  198.447365,	  120.333593,	  198.447383,	   49.962775,	   50.992363,	    0.002300,	   -0.000019,	   -1.029588,	   -6.469093
    0.029125,	  121.534227,	  207.085223,	  121.531907,	  207.085244,	   49.657343,	   52.176729,	    0.002320,	   -0.000021,	   -2.519386,	  -15.829772
    0.029542,	  123.431691,	  215.842783,	  123.429339,	  215.842806,	   50.900554,	   53.400479,	    0.002352,	   -0.000023,	   -2.499925,	  -15.707491
    0.029958,	  126.096619,	  224.611058,	  126.094221,	  224.611082,	   49.250520,	   45.547787,	    0.002398,	   -0.000024,	    3.702733,	   23.264955
    0.030375,	  129.530056,	  233.283633,	  129.527597,	  233.283658,	   50.068405,	   46.306149,	    0.002459,	   -0.000024,	    3.762256,	   23.638948
    0.030792,	  133.674979,	  241.772483,	  133.672445,	  241.772507,	   49.649524,	   47.730185,	    0.002534,	   -0.000024,	    1.919339,	   12.059563
    0.031208,	  138.423194,	  250.014416,	  138.420575,	  250.014440,	   50.576446,	   48.921718,	    0.002620,	   -0.000024,	    1.654728,	   10.396962
    0.031625,	  143.621105,	  257.973182,	  143.618390,	  257.973205,	   49.134604,	   49.885411,	    0.002715,	   -0.000023,	   -0.750807,	   -4.717461
    0.032042,	  149.074706,	  265.639113,	  149.071891,	  265.639136,	   50.206208,	   50.746308,	    0.002815,	   -0.000022,	   -0.540100,	   -3.393548
    0.032458,	  154.583736,	  273.027136,	  154.580818,	  273.027158,	   50.031626,	   51.564859,	    0.002917,	   -0.000022,	   -1.533233,	   -9.633588
    0.032875,	  159.970443,	  280.168817,	  159.967425,	  280.168838,	   50.574468,	   52.334802,	    0.003018,	   -0.000021,	   -1.760334,	  -11.060503
    0.033292,	  165.074546,	  287.105368,	  165.071431,	  287.105388,	   49.027302,	   46.701342,	    0.003115,	   -0.000020,	    2.325961,	   14.614441
    0.033708,	  169.751138,	  293.884561,	  169.747935,	  293.884580,	   50.090430,	   47.467134,	    0.003204,	   -0.000020,	    2.623296,	   16.482653
    0.034125,	  173.883379,	  300.557551,	  173.880096,	  300.557571,	   50.069621,	   48.346019,	    0.003283,	   -0.000019,	    1.723602,	   10.829710
    0.034542,	  177.390159,	  307.176057,	  177.386808,	  307.176076,	   50.555115,	   49.167031,	    0.003351,	   -0.000019,	    1.388084,	    8.721589
    0.034958,	  180.231119,	  313.789808,	  180.227713,	  313.789827,	   49.031999,	   49.920304,	    0.003406,	   -0.000019,	   -0.888305,	   -5.581386
    0.035375,	  182.399157,	  320.447743,	  182.395708,	  320.447762,	   50.005314,	   50.663384,	    0.003449,	   -0.000019,	   -0.658070,	   -4.134778
    0.035792,	  183.920190,	  327.198774,	  183.916710,	  327.198793,	   50.190244,	   51.420609,	    0.003480,	   -0.000020,	   -1.230365,	   -7.730613
    0.036208,	  184.864774,	  334.086385,	  184.861274,	  334.086405,	   50.700644,	   52.205356,	    0.003500,	   -0.000020,	   -1.504711,	   -9.454379
    0.036625,	  185.345442,	  341.145163,	  185.341932,	  341.145184,	   49.029531,	   47.168638,	    0.003510,	   -0.000021,	    1.860894,	   11.692340
    0.037042,	  185.505144,	  348.402101,	  185.501629,	  348.402123,	   49.850402,	   47.476408,	    0.003514,	   -0.000022,	    2.373993,	   14.916239
    0.037458,	  185.511391,	  355.875259,	  185.507876,	  355.875282,	   50.123831,	   48.346376,	    0.003515,	   -0.000023,	    1.777456,	   11.168084
    0.037875,	  185.549840,	    3.570908,	  185.546325,	    3.570932,	   50.756484,	   49.164074,	    0.003515,	   -0.000024,	    1.592410,	   10.005407
    0.038292,	  185.813229,	   11.478577,	  185.809711,	   11.478603,	   48.953794,	   49.914320,	    0.003519,	   -0.000025,	   -0.960527,	   -6.035167
    0.038708,	  186.483730,	   19.568764,	  186.480201,	   19.568790,	   49.898769,	   50.655398,	    0.003529,	   -0.000026,	   -0.756629,	   -4.754039
    0.039125,	  187.719110,	   27.797552,	  187.715560,	   27.797580,	   50.174743,	   51.416424,	    0.003550,	   -0.000027,	   -1.241681,	   -7.801714
    0.039542,	  189.640469,	   36.109396,	  189.636886,	   36.109423,	   50.640642,	   52.208108,	    0.003583,	   -0.000028,	   -1.567465,	   -9.848676
    0.039958,	  192.313845,	   44.439223,	  192.310215,	   44.439251,	   48.925229,	   47.627143,	    0.003630,	   -0.000028,	    1.298087,	    8.156119
    0.040375,	  195.741640,	   52.720697,	  195.737949,	   52.720725,	   49.961157,	   47.593142,	    0.003690,	   -0.000028,	    2.368015,	   14.878675
    0.040792,	  199.866295,	   60.895051,	  199.862530,	   60.895079,	   50.261118,	   48.483257,	    0.003765,	   -0.000028,	    1.777860,	   11.170626
    0.041208,	  204.581349,	   68.917077,	  204.577498,	   68.917105,	   50.625800,	   49.259705,	    0.003851,	   -0.000028,	    1.366095,	    8.583428
    0.041625,	  209.744142,	   76.757582,	  209.740197,	   76.757609,	   48.924982,	   49.929204,	    0.003946,	   -0.000027,	   -1.004222,	   -6.309715
    0.042042,	  215.179459,	   84.403102,	  215.175413,	   84.403129,	   49.900695,	   50.540723,	    0.004047,	   -0.000026,	   -0.640028,	   -4.021417
    0.042458,	  220.694827,	   91.855525,	  220.690677,	   91.855551,	   50.290235,	   51.130642,	    0.004150,	   -0.000026,	   -0.840406,	   -5.280427
    0.042875,	  226.104963,	   99.129733,	  226.100712,	   99.129758,	   50.614997,	   51.701449,	    0.004252,	   -0.000025,	   -1.086452,	   -6.826380
    0.043292,	  231.239887,	  106.250094,	  231.235538,	  106.250118,	   48.962509,	   47.923059,	    0.004349,	   -0.000024,	    1.039449,	    6.531052
    0.043708,	  235.948406,	  113.247955,	  235.943966,	  113.247979,	   49.879003,	   48.160374,	    0.004439,	   -0.000024,	    1.718628,	   10.798461
    0.044125,	  240.107167,	  120.159382,	  240.102647,	  120.159406,	   50.299379,	   48.789897,	    0.004520,	   -0.000024,	    1.509482,	    9.484353
    0.044542,	  243.628008,	  127.023065,	  243.623420,	  127.023089,	   50.631250,	   49.379875,	    0.004588,	   -0.000024,	    1.251375,	    7.862618
    0.044958,	  246.466665,	  133.877624,	  246.462020,	  133.877648,	   49.031761,	   49.933136,	    0.004645,	   -0.000024,	   -0.901376,	   -5.663510
    0.045375,	  248.620609,	  140.760458,	  248.615921,	  140.760482,	   49.815438,	   50.480894,	    0.004688,	   -0.000024,	   -0.665455,	   -4.181179
    0.045792,	  250.123884,	  147.708057,	  250.119165,	  147.708082,	   50.256794,	   51.045592,	    0.004719,	   -0.000024,	   -0.788799,	   -4.956170
    0.046208,	  251.050639,	  154.754033,	  251.045901,	  154.754058,	   50.654034,	   51.636673,	    0.004738,	   -0.000025,	   -0.982639,	   -6.174101
    0.046625,	  251.515145,	  161.926312,	  251.510396,	  161.926338,	   49.087759,	   48.263656,	    0.004749,	   -0.000026,	    0.824102,	    5.177988
    0.047042,	  251.664157,	  169.246091,	  251.659404,	  169.246118,	   49.798487,	   48.158161,	    0.004753,	   -0.000026,	    1.640326,	   10.306472
    0.047458,	  251.669129,	  176.726244,	  251.664376,	  176.726271,	   50.230490,	   48.789284,	    0.004753,	   -0.000027,	    1.441205,	    9.055361
    0.047875,	  251.716682,	  184.370265,	  251.711929,	  184.370294,	   50.662321,	   49.380856,	    0.004753,	   -0.000028,	    1.281465,	    8.051681
    0.048292,	  251.997347,	  192.170133,	  251.992590,	  192.170162,	   49.047500,	   49.934620,	    0.004757,	   -0.000029,	   -0.887119,	   -5.573936
    0.048708,	  252.689504,	  200.104573,	  252.684736,	  200.104603,	   49.808701,	   50.482145,	    0.004768,	   -0.000030,	   -0.673444,	   -4.231372
    0.049125,	  253.944324,	  208.141222,	  253.939535,	  208.141253,	   50.279060,	   51.045839,	    0.004789,	   -0.000031,	   -0.766780,	   -4.817819
    0.049542,	  255.875314,	  216.239908,	  255.870493,	  216.239939,	   50.647278,	   51.634673,	    0.004821,	   -0.000031,	   -0.987395,	   -6.203987
    0.049958,	  258.545904,	  224.354916,	  258.541037,	  224.354947,	   49.044495,	   48.597267,	    0.004868,	   -0.000031,	    0.447228,	    2.810018
    0.050375,	  261.962451,	  232.439460,	  261.957523,	  232.439491,	   49.799594,	   48.222230,	    0.004928,	   -0.000031,	    1.577363,	    9.910866
    0.050792,	  266.072780,	  240.450416,	  266.067778,	  240.450447,	   50.279132,	   48.865303,	    0.005002,	   -0.000031,	    1.413828,	    8.883343
    0.051208,	  270.773547,	  248.352728,	  270.768460,	  248.352758,	   50.639364,	   49.434667,	    0.005087,	   -0.000031,	    1.204697,	    7.569337
    0.051625,	  275.923461,	  256.122118,	  275.918279,	  256.122149,	   49.089346,	   49.943056,	    0.005182,	   -0.000030,	   -0.853710,	   -5.364018
    0.052042,	  281.352103,	  263.745675,	  281.346821,	  263.745704,	   49.780372,	   50.416524,	    0.005282,	   -0.000030,	   -0.636152,	   -3.997058
