[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.000000,	 0.003\90.000,	 0.001\90.000,	   -1.#IND00,	   -1.#IND00,	    0.001990,	    0.000000,	   -1.#IND00,	   -1.#IND00
    0.000000,	 0.027\90.709,	 0.003\94.405,	   -1.#IND00,	   -1.#IND00,	    0.023977,	   -3.696458,	   -1.#IND00,	   -1.#IND00
    0.000375,	 0.106\92.061,	 0.007\99.988,	   -1.#IND00,	   -1.#IND00,	    0.098787,	   -7.926143,	   -1.#IND00,	   -1.#IND00
    0.000792,	 0.259\93.894,	 0.019\101.598,	   -1.#IND00,	   -1.#IND00,	    0.240076,	   -7.703793,	   -1.#IND00,	   -1.#IND00
    0.001208,	 0.476\96.156,	 0.049\102.228,	   -1.#IND00,	   -1.#IND00,	    0.427367,	   -6.072102,	   -1.#IND00,	   -1.#IND00
    0.001625,	 0.734\98.819,	 0.099\106.476,	   -1.#IND00,	   -1.#IND00,	    0.635098,	   -7.656719,	   -1.#IND00,	   -1.#IND00
    0.002042,	 1.005\101.842,	 0.157\113.260,	   -1.#IND00,	   -1.#IND00,	    0.847536,	  -11.417674,	   -1.#IND00,	   -1.#IND00
    0.002458,	 1.266\105.241,	 0.218\120.995,	   -1.#IND00,	   -1.#IND00,	    1.047256,	  -15.754686,	   -1.#IND00,	   -1.#IND00
    0.002875,	 1.489\109.180,	 0.277\129.364,	   -1.#IND00,	   -1.#IND00,	    1.212379,	  -20.183945,	   -1.#IND00,	   -1.#IND00
    0.003292,	 1.658\113.792,	 0.327\138.379,	   57.358097,	   -1.#IND00,	    1.330941,	  -24.587063,	   -1.#IND00,	   -1.#IND00
    0.003708,	 1.780\118.932,	 0.363\148.203,	   76.368733,	   -1.#IND00,	    1.416570,	  -29.271066,	   -1.#IND00,	   -1.#IND00
    0.004125,	 1.873\124.341,	 0.383\159.498,	   84.334177,	   -1.#IND00,	    1.490946,	  -35.156490,	   -1.#IND00,	   -1.#IND00
    0.004542,	 1.942\130.054,	 0.386\172.098,	   88.365847,	   -1.#IND00,	    1.556088,	  -42.043417,	   -1.#IND00,	   -1.#IND00
    0.004958,	 1.973\136.586,	 0.375\185.749,	   91.223327,	   -1.#IND00,	    1.597444,	  -49.163439,	   -1.#IND00,	   -1.#IND00
    0.005375,	 1.957\144.747,	 0.356\201.780,	   93.104119,	   -1.#IND00,	    1.600508,	  -57.033581,	   -1.#IND00,	   -1.#IND00
    0.005792,	 1.906\155.269,	 0.340\221.430,	   94.190369,	   -1.#IND00,	    1.566338,	  -66.161261,	   -1.#IND00,	   -1.#IND00
    0.006208,	 1.857\168.693,	 0.343\244.163,	   96.271239,	   65.602096,	    1.513967,	  -75.470510,	   30.669143,	  192.699908
    0.006625,	 1.860\185.159,	 0.376\266.957,	   86.874978,	   88.306092,	    1.484316,	  -81.797872,	   -1.431114,	   -8.991951
    0.007042,	 1.977\203.369,	 0.435\286.738,	   -1.#IND00,	   95.615593,	    1.542413,	  -83.369380,	   -1.#IND00,	   -1.#IND00
    0.007458,	 2.239\220.704,	 0.515\302.314,	   -1.#IND00,	   75.545872,	    1.724174,	  -81.610213,	   -1.#IND00,	   -1.#IND00
    0.007875,	 2.630\235.428,	 0.613\313.337,	   -1.#IND00,	   43.917009,	    2.016735,	  -77.908204,	   -1.#IND00,	   -1.#IND00
    0.008292,	 3.121\247.451,	 0.716\321.336,	   -1.#IND00,	   -1.#IND00,	    2.404709,	  -73.884515,	   -1.#IND00,	   -1.#IND00
    0.008708,	 3.696\257.336,	 0.812\327.860,	   -1.#IND00,	   -1.#IND00,	    2.883670,	  -70.524452,	   -1.#IND00,	   -1.#IND00
    0.009125,	 4.339\265.603,	 0.896\333.316,	   -1.#IND00,	   -1.#IND00,	    3.443271,	  -67.713088,	   -1.#IND00,	   -1.#IND00
    0.009542,	 5.021\272.682,	 0.964\338.036,	   29.735587,	   -1.#IND00,	    4.057449,	  -65.354532,	   -1.#IND00,	   -1.#IND00
    0.009958,	 5.708\278.946,	 1.012\342.243,	   48.356799,	   -1.#IND00,	    4.695860,	  -63.296414,	   -1.#IND00,	   -1.#IND00
    0.010375,	 6.374\284.685,	 1.038\346.328,	   57.466284,	   -1.#IND00,	    5.336496,	  -61.642863,	   -1.#IND00,	   -1.#IND00
    0.010792,	 6.999\290.115,	 1.039\350.842,	   62.110811,	   -1.#IND00,	    5.960252,	  -60.727155,	   -1.#IND00,	   -1.#IND00
    0.011208,	 7.560\295.413,	 1.014\355.574,	   64.417836,	   -1.#IND00,	    6.546088,	  -60.161075,	   -1.#IND00,	   -1.#IND00
    0.011625,	 8.039\300.731,	 0.964\ 0.358,	   65.486364,	   -1.#IND00,	    7.074746,	  -59.627057,	   -1.#IND00,	   -1.#IND00
    0.012042,	 8.427\306.177,	 0.893\ 5.879,	   66.266931,	   -1.#IND00,	    7.534458,	  -59.702018,	   -1.#IND00,	   -1.#IND00
    0.012458,	 8.728\311.821,	 0.806\12.908,	   67.164447,	   -1.#IND00,	    7.922143,	  -61.087867,	   -1.#IND00,	   -1.#IND00
    0.012875,	 8.941\317.760,	 0.710\22.418,	   68.148610,	   -1.#IND00,	    8.230039,	  -64.657696,	   -1.#IND00,	   -1.#IND00
    0.013292,	 9.062\324.164,	 0.619\35.639,	   66.098535,	   -1.#IND00,	    8.443410,	  -71.475681,	   -1.#IND00,	   -1.#IND00
    0.013708,	 9.102\331.207,	 0.550\53.518,	   56.629118,	   26.358118,	    8.552306,	  -82.310716,	   30.271000,	  190.198299
    0.014125,	 9.082\339.033,	 0.534\75.607,	   37.491726,	   49.630938,	    8.547687,	  -96.573644,	  -12.139212,	  -76.272917
    0.014542,	 9.038\347.746,	 0.594\97.284,	   29.011726,	   65.272468,	    8.443968,	 -109.538126,	  -36.260743,	 -227.832962
    0.014958,	 9.016\357.405,	 0.712\114.497,	   25.071826,	   77.316296,	    8.304489,	 -117.092042,	  -52.244470,	 -328.261682
    0.015375,	 9.071\ 7.972,	 0.864\127.048,	   32.282830,	   87.809645,	    8.206937,	 -119.075808,	  -55.526815,	 -348.885263
    0.015792,	 9.258\19.222,	 1.034\136.077,	   43.880876,	   98.713529,	    8.224289,	 -116.855505,	  -54.832653,	 -344.523712
    0.016208,	 9.623\30.751,	 1.209\142.766,	   26.884794,	   88.983215,	    8.413514,	 -112.014869,	  -62.098421,	 -390.175883
    0.016625,	10.190\42.133,	 1.381\147.859,	   26.434458,	   73.161217,	    8.808849,	 -105.725925,	  -46.726760,	 -293.592884
    0.017042,	10.967\53.004,	 1.541\152.083,	   44.129161,	   48.158981,	    9.426654,	  -99.078577,	   -4.029820,	  -25.320104
