[mea_500kV_1]同期数据---kV/kA
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-Theta		Delta-f		Delta-w
    1.212458,	99.697\346.181,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713914,	  148.146909,	   -1.#IND00,	   -1.#IND00
    1.219125,	99.697\106.180,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466357,	   80.981024,	   -1.#IND00,	   -1.#IND00
    1.225791,	99.697\226.180,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913306,	  213.883720,	   -1.#IND00,	   -1.#IND00
    1.232458,	99.697\346.180,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713914,	  148.146848,	   -1.#IND00,	   -1.#IND00
    1.239125,	99.697\106.180,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466361,	   80.980947,	   -1.#IND00,	   -1.#IND00
    1.245791,	99.697\226.180,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913302,	  213.883651,	   -1.#IND00,	   -1.#IND00
    1.252458,	99.697\346.180,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713915,	  148.146786,	   -1.#IND00,	   -1.#IND00
    1.259125,	99.697\106.180,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466366,	   80.980871,	   -1.#IND00,	   -1.#IND00
    1.265791,	99.697\226.180,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913298,	  213.883581,	   -1.#IND00,	   -1.#IND00
    1.272458,	99.697\346.180,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713915,	  148.146725,	   -1.#IND00,	   -1.#IND00
    1.279125,	99.697\106.180,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466370,	   80.980795,	   -1.#IND00,	   -1.#IND00
    1.285791,	99.697\226.180,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913294,	  213.883512,	   -1.#IND00,	   -1.#IND00
    1.292458,	99.697\346.180,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713915,	  148.146664,	   -1.#IND00,	   -1.#IND00
    1.299125,	99.697\106.180,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466375,	   80.980719,	   -1.#IND00,	   -1.#IND00
    1.305791,	99.697\226.180,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913290,	  213.883442,	   -1.#IND00,	   -1.#IND00
    1.312458,	99.697\346.180,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713916,	  148.146602,	   -1.#IND00,	   -1.#IND00
    1.319125,	99.697\106.180,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466379,	   80.980643,	   -1.#IND00,	   -1.#IND00
    1.325791,	99.697\226.180,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913286,	  213.883373,	   -1.#IND00,	   -1.#IND00
    1.332458,	99.697\346.180,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713916,	  148.146541,	   -1.#IND00,	   -1.#IND00
    1.339125,	99.697\106.180,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466383,	   80.980567,	   -1.#IND00,	   -1.#IND00
    1.345791,	99.697\226.180,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913281,	  213.883303,	   -1.#IND00,	   -1.#IND00
    1.352458,	99.697\346.180,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713916,	  148.146480,	   -1.#IND00,	   -1.#IND00
    1.359125,	99.697\106.180,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466388,	   80.980491,	   -1.#IND00,	   -1.#IND00
    1.365791,	99.697\226.180,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913277,	  213.883234,	   -1.#IND00,	   -1.#IND00
    1.372458,	99.697\346.180,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713917,	  148.146419,	   -1.#IND00,	   -1.#IND00
    1.379125,	99.697\106.180,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466392,	   80.980415,	   -1.#IND00,	   -1.#IND00
    1.385791,	99.697\226.180,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913273,	  213.883164,	   -1.#IND00,	   -1.#IND00
    1.392458,	99.697\346.180,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713917,	  148.146357,	   -1.#IND00,	   -1.#IND00
    1.399125,	99.697\106.180,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466397,	   80.980338,	   -1.#IND00,	   -1.#IND00
    1.405791,	99.697\226.180,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913269,	  213.883095,	   -1.#IND00,	   -1.#IND00
    1.412458,	99.697\346.180,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713917,	  148.146296,	   -1.#IND00,	   -1.#IND00
    1.419125,	99.697\106.180,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466401,	   80.980262,	   -1.#IND00,	   -1.#IND00
    1.425791,	99.697\226.180,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913265,	  213.883025,	   -1.#IND00,	   -1.#IND00
    1.432458,	99.697\346.180,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713918,	  148.146235,	   -1.#IND00,	   -1.#IND00
    1.439125,	99.697\106.180,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466406,	   80.980186,	   -1.#IND00,	   -1.#IND00
    1.445791,	99.697\226.180,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913261,	  213.882956,	   -1.#IND00,	   -1.#IND00
    1.452458,	99.697\346.180,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713918,	  148.146173,	   -1.#IND00,	   -1.#IND00
    1.459125,	99.697\106.180,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466410,	   80.980110,	   -1.#IND00,	   -1.#IND00
    1.465791,	99.697\226.180,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913257,	  213.882886,	   -1.#IND00,	   -1.#IND00
    1.472458,	99.697\346.180,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713918,	  148.146112,	   -1.#IND00,	   -1.#IND00
    1.479125,	99.697\106.180,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466415,	   80.980034,	   -1.#IND00,	   -1.#IND00
    1.485791,	99.697\226.180,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913252,	  213.882817,	   -1.#IND00,	   -1.#IND00
    1.492458,	99.697\346.180,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713918,	  148.146051,	   -1.#IND00,	   -1.#IND00
    1.499125,	99.697\106.180,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466419,	   80.979958,	   -1.#IND00,	   -1.#IND00
    1.505791,	99.697\226.180,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913248,	  213.882747,	   -1.#IND00,	   -1.#IND00
    1.512458,	99.697\346.180,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713919,	  148.145989,	   -1.#IND00,	   -1.#IND00
    1.519125,	99.697\106.180,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466423,	   80.979882,	   -1.#IND00,	   -1.#IND00
    1.525791,	99.697\226.180,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913244,	  213.882678,	   -1.#IND00,	   -1.#IND00
    1.532458,	99.697\346.180,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713919,	  148.145928,	   -1.#IND00,	   -1.#IND00
    1.539125,	99.697\106.180,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466428,	   80.979805,	   -1.#IND00,	   -1.#IND00
    1.545791,	99.697\226.180,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913240,	  213.882608,	   -1.#IND00,	   -1.#IND00
    1.552458,	99.697\346.180,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713919,	  148.145867,	   -1.#IND00,	   -1.#IND00
    1.559125,	99.697\106.180,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466432,	   80.979729,	   -1.#IND00,	   -1.#IND00
    1.565791,	99.697\226.179,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913236,	  213.882539,	   -1.#IND00,	   -1.#IND00
    1.572458,	99.697\346.179,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713920,	  148.145805,	   -1.#IND00,	   -1.#IND00
    1.579125,	99.697\106.179,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466437,	   80.979653,	   -1.#IND00,	   -1.#IND00
    1.585791,	99.697\226.179,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913232,	  213.882469,	   -1.#IND00,	   -1.#IND00
    1.592458,	99.697\346.179,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713920,	  148.145744,	   -1.#IND00,	   -1.#IND00
    1.599125,	99.697\106.179,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466441,	   80.979577,	   -1.#IND00,	   -1.#IND00
    1.605791,	99.697\226.179,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913228,	  213.882400,	   -1.#IND00,	   -1.#IND00
    1.612458,	99.697\346.179,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713920,	  148.145683,	   -1.#IND00,	   -1.#IND00
    1.619125,	99.697\106.179,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466446,	   80.979501,	   -1.#IND00,	   -1.#IND00
    1.625791,	99.697\226.179,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913223,	  213.882330,	   -1.#IND00,	   -1.#IND00
    1.632458,	99.697\346.179,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713921,	  148.145621,	   -1.#IND00,	   -1.#IND00
    1.639125,	99.697\106.179,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466450,	   80.979425,	   -1.#IND00,	   -1.#IND00
    1.645791,	99.697\226.179,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913219,	  213.882261,	   -1.#IND00,	   -1.#IND00
    1.652458,	99.697\346.179,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713921,	  148.145560,	   -1.#IND00,	   -1.#IND00
    1.659125,	99.697\106.179,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466455,	   80.979349,	   -1.#IND00,	   -1.#IND00
    1.665791,	99.697\226.179,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913215,	  213.882191,	   -1.#IND00,	   -1.#IND00
    1.672458,	99.697\346.179,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713921,	  148.145499,	   -1.#IND00,	   -1.#IND00
    1.679125,	99.697\106.179,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466459,	   80.979273,	   -1.#IND00,	   -1.#IND00
    1.685791,	99.697\226.179,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913211,	  213.882122,	   -1.#IND00,	   -1.#IND00
    1.692458,	99.697\346.179,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713922,	  148.145437,	   -1.#IND00,	   -1.#IND00
    1.699125,	99.697\106.179,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466463,	   80.979196,	   -1.#IND00,	   -1.#IND00
    1.705791,	99.697\226.179,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913207,	  213.882052,	   -1.#IND00,	   -1.#IND00
    1.712458,	99.697\346.179,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713922,	  148.145376,	   -1.#IND00,	   -1.#IND00
    1.719125,	99.697\106.179,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466468,	   80.979120,	   -1.#IND00,	   -1.#IND00
    1.725791,	99.697\226.179,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913203,	  213.881983,	   -1.#IND00,	   -1.#IND00
    1.732458,	99.697\346.179,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713922,	  148.145315,	   -1.#IND00,	   -1.#IND00
    1.739125,	99.697\106.179,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466472,	   80.979044,	   -1.#IND00,	   -1.#IND00
    1.745791,	99.697\226.179,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913199,	  213.881913,	   -1.#IND00,	   -1.#IND00
    1.752458,	99.697\346.179,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713923,	  148.145254,	   -1.#IND00,	   -1.#IND00
    1.759125,	99.697\106.179,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466477,	   80.978968,	   -1.#IND00,	   -1.#IND00
    1.765791,	99.697\226.179,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913194,	  213.881844,	   -1.#IND00,	   -1.#IND00
    1.772458,	99.697\346.179,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713923,	  148.145192,	   -1.#IND00,	   -1.#IND00
    1.779125,	99.697\106.179,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466481,	   80.978892,	   -1.#IND00,	   -1.#IND00
    1.785791,	99.697\226.179,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913190,	  213.881774,	   -1.#IND00,	   -1.#IND00
    1.792458,	99.697\346.179,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713923,	  148.145131,	   -1.#IND00,	   -1.#IND00
    1.799125,	99.697\106.179,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466486,	   80.978816,	   -1.#IND00,	   -1.#IND00
    1.805791,	99.697\226.179,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913186,	  213.881705,	   -1.#IND00,	   -1.#IND00
    1.812458,	99.697\346.179,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713924,	  148.145070,	   -1.#IND00,	   -1.#IND00
    1.819125,	99.697\106.179,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466490,	   80.978740,	   -1.#IND00,	   -1.#IND00
    1.825791,	99.697\226.179,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913182,	  213.881635,	   -1.#IND00,	   -1.#IND00
    1.832458,	99.697\346.179,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713924,	  148.145008,	   -1.#IND00,	   -1.#IND00
    1.839125,	99.697\106.179,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466495,	   80.978663,	   -1.#IND00,	   -1.#IND00
    1.845791,	99.697\226.179,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913178,	  213.881566,	   -1.#IND00,	   -1.#IND00
    1.852458,	99.697\346.179,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713924,	  148.144947,	   -1.#IND00,	   -1.#IND00
    1.859125,	99.697\106.179,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466499,	   80.978587,	   -1.#IND00,	   -1.#IND00
    1.865791,	99.697\226.179,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913174,	  213.881496,	   -1.#IND00,	   -1.#IND00
    1.872458,	99.697\346.179,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713925,	  148.144886,	   -1.#IND00,	   -1.#IND00
    1.879125,	99.697\106.179,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466503,	   80.978511,	   -1.#IND00,	   -1.#IND00
    1.885791,	99.697\226.179,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913170,	  213.881427,	   -1.#IND00,	   -1.#IND00
    1.892458,	99.697\346.179,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713925,	  148.144824,	   -1.#IND00,	   -1.#IND00
    1.899125,	99.697\106.179,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466508,	   80.978435,	   -1.#IND00,	   -1.#IND00
    1.905791,	99.697\226.178,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913166,	  213.881357,	   -1.#IND00,	   -1.#IND00
    1.912458,	99.697\346.178,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713925,	  148.144763,	   -1.#IND00,	   -1.#IND00
    1.919125,	99.697\106.178,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466512,	   80.978359,	   -1.#IND00,	   -1.#IND00
    1.925791,	99.697\226.178,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913161,	  213.881288,	   -1.#IND00,	   -1.#IND00
    1.932458,	99.697\346.178,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713926,	  148.144702,	   -1.#IND00,	   -1.#IND00
    1.939125,	99.697\106.178,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466517,	   80.978283,	   -1.#IND00,	   -1.#IND00
    1.945791,	99.697\226.178,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913157,	  213.881218,	   -1.#IND00,	   -1.#IND00
    1.952458,	99.697\346.178,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713926,	  148.144640,	   -1.#IND00,	   -1.#IND00
    1.959125,	99.697\106.178,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466521,	   80.978207,	   -1.#IND00,	   -1.#IND00
    1.965791,	99.697\226.178,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913153,	  213.881149,	   -1.#IND00,	   -1.#IND00
    1.972458,	99.697\346.178,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713926,	  148.144579,	   -1.#IND00,	   -1.#IND00
    1.979125,	99.697\106.178,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466526,	   80.978130,	   -1.#IND00,	   -1.#IND00
    1.985791,	99.697\226.178,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913149,	  213.881079,	   -1.#IND00,	   -1.#IND00
    1.992458,	99.697\346.178,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713927,	  148.144518,	   -1.#IND00,	   -1.#IND00
    1.999125,	99.697\106.178,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466530,	   80.978054,	   -1.#IND00,	   -1.#IND00
    2.005791,	99.697\226.178,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913145,	  213.881010,	   -1.#IND00,	   -1.#IND00
    2.012458,	99.697\346.178,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713927,	  148.144456,	   -1.#IND00,	   -1.#IND00
    2.019125,	99.697\106.178,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466535,	   80.977978,	   -1.#IND00,	   -1.#IND00
    2.025791,	99.697\226.178,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913141,	  213.880940,	   -1.#IND00,	   -1.#IND00
    2.032458,	99.697\346.178,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713927,	  148.144395,	   -1.#IND00,	   -1.#IND00
    2.039125,	99.697\106.178,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466539,	   80.977902,	   -1.#IND00,	   -1.#IND00
    2.045791,	99.697\226.178,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913137,	  213.880871,	   -1.#IND00,	   -1.#IND00
    2.052458,	99.697\346.178,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713928,	  148.144334,	   -1.#IND00,	   -1.#IND00
    2.059125,	99.697\106.178,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466543,	   80.977826,	   -1.#IND00,	   -1.#IND00
    2.065791,	99.697\226.178,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913132,	  213.880801,	   -1.#IND00,	   -1.#IND00
    2.072458,	99.697\346.178,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713928,	  148.144273,	   -1.#IND00,	   -1.#IND00
    2.079125,	99.697\106.178,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466548,	   80.977750,	   -1.#IND00,	   -1.#IND00
    2.085791,	99.697\226.178,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913128,	  213.880732,	   -1.#IND00,	   -1.#IND00
    2.092458,	99.697\346.178,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713928,	  148.144211,	   -1.#IND00,	   -1.#IND00
    2.099125,	99.697\106.178,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466552,	   80.977674,	   -1.#IND00,	   -1.#IND00
    2.105791,	99.697\226.178,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913124,	  213.880662,	   -1.#IND00,	   -1.#IND00
    2.112458,	99.697\346.178,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713929,	  148.144150,	   -1.#IND00,	   -1.#IND00
    2.119125,	99.697\106.178,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466557,	   80.977598,	   -1.#IND00,	   -1.#IND00
    2.125791,	99.697\226.178,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913120,	  213.880593,	   -1.#IND00,	   -1.#IND00
    2.132458,	99.697\346.178,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713929,	  148.144089,	   -1.#IND00,	   -1.#IND00
    2.139125,	99.697\106.178,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466561,	   80.977521,	   -1.#IND00,	   -1.#IND00
    2.145791,	99.697\226.178,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913116,	  213.880523,	   -1.#IND00,	   -1.#IND00
    2.152458,	99.697\346.178,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713929,	  148.144027,	   -1.#IND00,	   -1.#IND00
    2.159125,	99.697\106.178,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466566,	   80.977445,	   -1.#IND00,	   -1.#IND00
    2.165791,	99.697\226.178,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913112,	  213.880454,	   -1.#IND00,	   -1.#IND00
    2.172458,	99.697\346.178,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713929,	  148.143966,	   -1.#IND00,	   -1.#IND00
    2.179125,	99.697\106.178,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466570,	   80.977369,	   -1.#IND00,	   -1.#IND00
    2.185791,	99.697\226.178,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913108,	  213.880384,	   -1.#IND00,	   -1.#IND00
    2.192458,	99.697\346.178,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713930,	  148.143905,	   -1.#IND00,	   -1.#IND00
    2.199125,	99.697\106.178,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466575,	   80.977293,	   -1.#IND00,	   -1.#IND00
    2.205791,	99.697\226.178,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913103,	  213.880315,	   -1.#IND00,	   -1.#IND00
    2.212458,	99.697\346.178,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713930,	  148.143843,	   -1.#IND00,	   -1.#IND00
    2.219125,	99.697\106.178,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466579,	   80.977217,	   -1.#IND00,	   -1.#IND00
    2.225791,	99.697\226.178,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913099,	  213.880245,	   -1.#IND00,	   -1.#IND00
    2.232458,	99.697\346.178,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713930,	  148.143782,	   -1.#IND00,	   -1.#IND00
    2.239125,	99.697\106.178,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466583,	   80.977141,	   -1.#IND00,	   -1.#IND00
    2.245791,	99.697\226.178,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913095,	  213.880176,	   -1.#IND00,	   -1.#IND00
    2.252458,	99.697\346.178,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713931,	  148.143721,	   -1.#IND00,	   -1.#IND00
    2.259125,	99.697\106.177,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466588,	   80.977065,	   -1.#IND00,	   -1.#IND00
    2.265791,	99.697\226.177,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913091,	  213.880106,	   -1.#IND00,	   -1.#IND00
    2.272458,	99.697\346.177,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713931,	  148.143659,	   -1.#IND00,	   -1.#IND00
    2.279125,	99.697\106.177,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466592,	   80.976988,	   -1.#IND00,	   -1.#IND00
    2.285791,	99.697\226.177,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913087,	  213.880037,	   -1.#IND00,	   -1.#IND00
    2.292458,	99.697\346.177,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713931,	  148.143598,	   -1.#IND00,	   -1.#IND00
    2.299125,	99.697\106.177,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466597,	   80.976912,	   -1.#IND00,	   -1.#IND00
    2.305791,	99.697\226.177,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913083,	  213.879967,	   -1.#IND00,	   -1.#IND00
    2.312458,	99.697\346.177,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713932,	  148.143537,	   -1.#IND00,	   -1.#IND00
    2.319125,	99.697\106.177,	 2.231\25.200,	   49.999993,	   -1.#IND00,	   97.466601,	   80.976836,	   -1.#IND00,	   -1.#IND00
    2.325791,	99.697\226.177,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913079,	  213.879898,	   -1.#IND00,	   -1.#IND00
    2.332458,	99.697\346.177,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713932,	  148.143475,	   -1.#IND00,	   -1.#IND00
    2.339125,	99.697\106.177,	 2.231\25.201,	   49.999993,	   -1.#IND00,	   97.466606,	   80.976760,	   -1.#IND00,	   -1.#IND00
    2.345791,	99.697\226.177,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913074,	  213.879828,	   -1.#IND00,	   -1.#IND00
    2.352458,	99.697\346.177,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713932,	  148.143414,	   -1.#IND00,	   -1.#IND00
    2.359125,	99.697\106.177,	 2.231\25.201,	   49.999993,	   -1.#IND00,	   97.466610,	   80.976684,	   -1.#IND00,	   -1.#IND00
    2.365791,	99.697\226.177,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913070,	  213.879759,	   -1.#IND00,	   -1.#IND00
    2.372458,	99.697\346.177,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713933,	  148.143353,	   -1.#IND00,	   -1.#IND00
    2.379125,	99.697\106.177,	 2.231\25.201,	   49.999993,	   -1.#IND00,	   97.466615,	   80.976608,	   -1.#IND00,	   -1.#IND00
    2.385791,	99.697\226.177,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913066,	  213.879689,	   -1.#IND00,	   -1.#IND00
    2.392458,	99.697\346.177,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713933,	  148.143291,	   -1.#IND00,	   -1.#IND00
    2.399125,	99.697\106.177,	 2.231\25.201,	   49.999993,	   -1.#IND00,	   97.466619,	   80.976532,	   -1.#IND00,	   -1.#IND00
    2.405791,	99.697\226.177,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913062,	  213.879620,	   -1.#IND00,	   -1.#IND00
    2.412458,	99.697\346.177,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713933,	  148.143230,	   -1.#IND00,	   -1.#IND00
    2.419125,	99.697\106.177,	 2.231\25.201,	   49.999993,	   -1.#IND00,	   97.466623,	   80.976455,	   -1.#IND00,	   -1.#IND00
    2.425791,	99.697\226.177,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913058,	  213.879550,	   -1.#IND00,	   -1.#IND00
