[mea_500kV_1]同期数据---kV/kA
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-Theta		Delta-f		Delta-w
    0.285792,	99.697\226.183,	 2.784\12.296,	   49.999991,	   -1.#IND00,	   96.913459,	  213.886688,	   -1.#IND00,	   -1.#IND00
    0.292458,	99.697\346.183,	 4.983\198.034,	   49.999992,	   -1.#IND00,	   94.713865,	  148.149395,	   -1.#IND00,	   -1.#IND00
    0.299125,	99.697\106.183,	 2.231\25.200,	   49.999992,	   -1.#IND00,	   97.466124,	   80.983442,	   -1.#IND00,	   -1.#IND00
    0.305792,	99.697\226.183,	 2.784\12.295,	   49.999991,	   -1.#IND00,	   96.913510,	  213.888071,	   -1.#IND00,	   -1.#IND00
    0.312458,	99.697\346.183,	 4.983\198.033,	   49.999992,	   -1.#IND00,	   94.713911,	  148.150236,	   -1.#IND00,	   -1.#IND00
    0.319125,	99.697\106.183,	 2.231\25.198,	   49.999992,	   -1.#IND00,	   97.466164,	   80.985203,	   -1.#IND00,	   -1.#IND00
    0.325792,	99.697\226.183,	 2.784\12.296,	   49.999992,	   -1.#IND00,	   96.913497,	  213.886737,	   -1.#IND00,	   -1.#IND00
    0.332458,	99.697\346.183,	 4.983\198.033,	   49.999992,	   -1.#IND00,	   94.713907,	  148.149742,	   -1.#IND00,	   -1.#IND00
    0.339125,	99.697\106.183,	 2.231\25.198,	   49.999992,	   -1.#IND00,	   97.466170,	   80.984788,	   -1.#IND00,	   -1.#IND00
    0.345792,	99.697\226.183,	 2.784\12.296,	   49.999992,	   -1.#IND00,	   96.913486,	  213.886519,	   -1.#IND00,	   -1.#IND00
    0.352458,	99.697\346.183,	 4.983\198.033,	   49.999993,	   -1.#IND00,	   94.713900,	  148.149502,	   -1.#IND00,	   -1.#IND00
    0.359125,	99.697\106.183,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466168,	   80.984359,	   -1.#IND00,	   -1.#IND00
    0.365792,	99.697\226.183,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913483,	  213.886609,	   -1.#IND00,	   -1.#IND00
    0.372458,	99.697\346.183,	 4.983\198.033,	   49.999993,	   -1.#IND00,	   94.713899,	  148.149448,	   -1.#IND00,	   -1.#IND00
    0.379125,	99.697\106.183,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466170,	   80.984206,	   -1.#IND00,	   -1.#IND00
    0.385792,	99.697\226.183,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913480,	  213.886614,	   -1.#IND00,	   -1.#IND00
    0.392458,	99.697\346.183,	 4.983\198.033,	   49.999993,	   -1.#IND00,	   94.713900,	  148.149407,	   -1.#IND00,	   -1.#IND00
    0.399125,	99.697\106.183,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466174,	   80.984127,	   -1.#IND00,	   -1.#IND00
    0.405792,	99.697\226.183,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913476,	  213.886567,	   -1.#IND00,	   -1.#IND00
    0.412458,	99.697\346.183,	 4.983\198.033,	   49.999993,	   -1.#IND00,	   94.713901,	  148.149355,	   -1.#IND00,	   -1.#IND00
    0.419125,	99.697\106.183,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466179,	   80.984057,	   -1.#IND00,	   -1.#IND00
    0.425792,	99.697\226.183,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913472,	  213.886504,	   -1.#IND00,	   -1.#IND00
    0.432458,	99.697\346.183,	 4.983\198.033,	   49.999993,	   -1.#IND00,	   94.713901,	  148.149299,	   -1.#IND00,	   -1.#IND00
    0.439125,	99.697\106.183,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466183,	   80.983987,	   -1.#IND00,	   -1.#IND00
    0.445792,	99.697\226.183,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913468,	  213.886434,	   -1.#IND00,	   -1.#IND00
    0.452458,	99.697\346.183,	 4.983\198.033,	   49.999993,	   -1.#IND00,	   94.713902,	  148.149240,	   -1.#IND00,	   -1.#IND00
    0.459125,	99.697\106.183,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466188,	   80.983915,	   -1.#IND00,	   -1.#IND00
    0.465792,	99.697\226.183,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913464,	  213.886363,	   -1.#IND00,	   -1.#IND00
    0.472458,	99.697\346.183,	 4.983\198.033,	   49.999993,	   -1.#IND00,	   94.713902,	  148.149178,	   -1.#IND00,	   -1.#IND00
    0.479125,	99.697\106.183,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466192,	   80.983841,	   -1.#IND00,	   -1.#IND00
    0.485792,	99.697\226.183,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913459,	  213.886292,	   -1.#IND00,	   -1.#IND00
    0.492458,	99.697\346.183,	 4.983\198.033,	   49.999993,	   -1.#IND00,	   94.713902,	  148.149117,	   -1.#IND00,	   -1.#IND00
    0.499125,	99.697\106.183,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466197,	   80.983765,	   -1.#IND00,	   -1.#IND00
    0.505792,	99.697\226.183,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913455,	  213.886222,	   -1.#IND00,	   -1.#IND00
    0.512458,	99.697\346.183,	 4.983\198.033,	   49.999993,	   -1.#IND00,	   94.713903,	  148.149055,	   -1.#IND00,	   -1.#IND00
    0.519125,	99.697\106.183,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466201,	   80.983689,	   -1.#IND00,	   -1.#IND00
    0.525792,	99.697\226.182,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913451,	  213.886152,	   -1.#IND00,	   -1.#IND00
    0.532458,	99.697\346.182,	 4.983\198.033,	   49.999993,	   -1.#IND00,	   94.713903,	  148.148994,	   -1.#IND00,	   -1.#IND00
    0.539125,	99.697\106.182,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466206,	   80.983612,	   -1.#IND00,	   -1.#IND00
    0.545792,	99.697\226.182,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913447,	  213.886083,	   -1.#IND00,	   -1.#IND00
    0.552458,	99.697\346.182,	 4.983\198.033,	   49.999993,	   -1.#IND00,	   94.713903,	  148.148932,	   -1.#IND00,	   -1.#IND00
    0.559125,	99.697\106.182,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466210,	   80.983536,	   -1.#IND00,	   -1.#IND00
    0.565792,	99.697\226.182,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913443,	  213.886014,	   -1.#IND00,	   -1.#IND00
    0.572458,	99.697\346.182,	 4.983\198.033,	   49.999993,	   -1.#IND00,	   94.713904,	  148.148871,	   -1.#IND00,	   -1.#IND00
    0.579125,	99.697\106.182,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466214,	   80.983460,	   -1.#IND00,	   -1.#IND00
    0.585792,	99.697\226.182,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913439,	  213.885944,	   -1.#IND00,	   -1.#IND00
    0.592458,	99.697\346.182,	 4.983\198.033,	   49.999993,	   -1.#IND00,	   94.713904,	  148.148810,	   -1.#IND00,	   -1.#IND00
    0.599125,	99.697\106.182,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466219,	   80.983384,	   -1.#IND00,	   -1.#IND00
    0.605792,	99.697\226.182,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913435,	  213.885875,	   -1.#IND00,	   -1.#IND00
    0.612458,	99.697\346.182,	 4.983\198.033,	   49.999993,	   -1.#IND00,	   94.713904,	  148.148748,	   -1.#IND00,	   -1.#IND00
    0.619125,	99.697\106.182,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466223,	   80.983308,	   -1.#IND00,	   -1.#IND00
    0.625792,	99.697\226.182,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913430,	  213.885805,	   -1.#IND00,	   -1.#IND00
    0.632458,	99.697\346.182,	 4.983\198.033,	   49.999993,	   -1.#IND00,	   94.713905,	  148.148687,	   -1.#IND00,	   -1.#IND00
    0.639125,	99.697\106.182,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466228,	   80.983231,	   -1.#IND00,	   -1.#IND00
    0.645792,	99.697\226.182,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913426,	  213.885736,	   -1.#IND00,	   -1.#IND00
    0.652458,	99.697\346.182,	 4.983\198.033,	   49.999993,	   -1.#IND00,	   94.713905,	  148.148626,	   -1.#IND00,	   -1.#IND00
    0.659125,	99.697\106.182,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466232,	   80.983155,	   -1.#IND00,	   -1.#IND00
    0.665792,	99.697\226.182,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913422,	  213.885666,	   -1.#IND00,	   -1.#IND00
    0.672458,	99.697\346.182,	 4.983\198.033,	   49.999993,	   -1.#IND00,	   94.713905,	  148.148565,	   -1.#IND00,	   -1.#IND00
    0.679125,	99.697\106.182,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466237,	   80.983079,	   -1.#IND00,	   -1.#IND00
    0.685792,	99.697\226.182,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913418,	  213.885597,	   -1.#IND00,	   -1.#IND00
    0.692458,	99.697\346.182,	 4.983\198.033,	   49.999993,	   -1.#IND00,	   94.713906,	  148.148503,	   -1.#IND00,	   -1.#IND00
    0.699125,	99.697\106.182,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466241,	   80.983003,	   -1.#IND00,	   -1.#IND00
    0.705792,	99.697\226.182,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913414,	  213.885527,	   -1.#IND00,	   -1.#IND00
    0.712458,	99.697\346.182,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713906,	  148.148442,	   -1.#IND00,	   -1.#IND00
    0.719125,	99.697\106.182,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466246,	   80.982927,	   -1.#IND00,	   -1.#IND00
    0.725792,	99.697\226.182,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913410,	  213.885458,	   -1.#IND00,	   -1.#IND00
    0.732458,	99.697\346.182,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713906,	  148.148381,	   -1.#IND00,	   -1.#IND00
    0.739125,	99.697\106.182,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466250,	   80.982851,	   -1.#IND00,	   -1.#IND00
    0.745792,	99.697\226.182,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913406,	  213.885388,	   -1.#IND00,	   -1.#IND00
    0.752458,	99.697\346.182,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713907,	  148.148319,	   -1.#IND00,	   -1.#IND00
    0.759125,	99.697\106.182,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466254,	   80.982775,	   -1.#IND00,	   -1.#IND00
    0.765792,	99.697\226.182,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913401,	  213.885319,	   -1.#IND00,	   -1.#IND00
    0.772458,	99.697\346.182,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713907,	  148.148258,	   -1.#IND00,	   -1.#IND00
    0.779125,	99.697\106.182,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466259,	   80.982699,	   -1.#IND00,	   -1.#IND00
    0.785792,	99.697\226.182,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913397,	  213.885249,	   -1.#IND00,	   -1.#IND00
    0.792458,	99.697\346.182,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713907,	  148.148197,	   -1.#IND00,	   -1.#IND00
    0.799125,	99.697\106.182,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466263,	   80.982622,	   -1.#IND00,	   -1.#IND00
    0.805792,	99.697\226.182,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913393,	  213.885180,	   -1.#IND00,	   -1.#IND00
    0.812458,	99.697\346.182,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713908,	  148.148135,	   -1.#IND00,	   -1.#IND00
    0.819125,	99.697\106.182,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466268,	   80.982546,	   -1.#IND00,	   -1.#IND00
    0.825792,	99.697\226.182,	 2.784\12.296,	   49.999993,	   -1.#IND00,	   96.913389,	  213.885110,	   -1.#IND00,	   -1.#IND00
    0.832458,	99.697\346.182,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713908,	  148.148074,	   -1.#IND00,	   -1.#IND00
    0.839125,	99.697\106.182,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466272,	   80.982470,	   -1.#IND00,	   -1.#IND00
    0.845792,	99.697\226.182,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913385,	  213.885041,	   -1.#IND00,	   -1.#IND00
    0.852458,	99.697\346.182,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713908,	  148.148013,	   -1.#IND00,	   -1.#IND00
    0.859125,	99.697\106.182,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466277,	   80.982394,	   -1.#IND00,	   -1.#IND00
    0.865792,	99.697\226.181,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913381,	  213.884971,	   -1.#IND00,	   -1.#IND00
    0.872458,	99.697\346.181,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713908,	  148.147951,	   -1.#IND00,	   -1.#IND00
    0.879125,	99.697\106.181,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466281,	   80.982318,	   -1.#IND00,	   -1.#IND00
    0.885792,	99.697\226.181,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913377,	  213.884902,	   -1.#IND00,	   -1.#IND00
    0.892458,	99.697\346.181,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713909,	  148.147890,	   -1.#IND00,	   -1.#IND00
    0.899125,	99.697\106.181,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466286,	   80.982242,	   -1.#IND00,	   -1.#IND00
    0.905792,	99.697\226.181,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913372,	  213.884832,	   -1.#IND00,	   -1.#IND00
    0.912458,	99.697\346.181,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713909,	  148.147829,	   -1.#IND00,	   -1.#IND00
    0.919125,	99.697\106.181,	 2.231\25.199,	   49.999993,	   -1.#IND00,	   97.466290,	   80.982166,	   -1.#IND00,	   -1.#IND00
    0.925792,	99.697\226.181,	 2.784\12.297,	   49.999993,	   -1.#IND00,	   96.913368,	  213.884763,	   -1.#IND00,	   -1.#IND00
    0.932458,	99.697\346.181,	 4.983\198.034,	   49.999993,	   -1.#IND00,	   94.713909,	  148.147767,	   -1.#IND00,	   -1.#IND00
