[mea_500kV_1]同期数据---kV/kA
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-Theta		Delta-f		Delta-w
    0.198708,	99.697\98.683,	 5.823\178.319,	   49.999891,	   -1.#IND00,	   93.874491,	  280.364468,	   -1.#IND00,	   -1.#IND00
    0.398292,	99.697\91.183,	 1.028\35.614,	   49.999993,	   -1.#IND00,	   98.669545,	   55.569299,	   -1.#IND00,	   -1.#IND00
    0.597875,	99.697\83.682,	 0.460\61.848,	   49.999993,	   -1.#IND00,	   99.236983,	   21.833944,	   -1.#IND00,	   -1.#IND00
    0.797458,	99.697\76.182,	 0.454\153.024,	   49.999993,	   -1.#IND00,	   99.242788,	  283.157854,	   -1.#IND00,	   -1.#IND00
    0.997042,	99.697\68.681,	 1.020\179.834,	   49.999993,	   -1.#IND00,	   98.677146,	  248.847273,	   -1.#IND00,	   -1.#IND00
    1.196625,	99.697\61.181,	 1.630\187.056,	   49.999993,	   -1.#IND00,	   98.067189,	  234.124177,	   -1.#IND00,	   -1.#IND00
    1.396208,	99.697\53.680,	 2.224\190.362,	   49.999993,	   -1.#IND00,	   97.473331,	  223.317809,	   -1.#IND00,	   -1.#IND00
    1.595791,	99.697\46.179,	 2.784\192.297,	   49.999993,	   -1.#IND00,	   96.913230,	  213.882440,	   -1.#IND00,	   -1.#IND00
    1.795375,	99.697\38.679,	 3.298\193.601,	   49.999993,	   -1.#IND00,	   96.398647,	  205.077587,	   -1.#IND00,	   -1.#IND00
    1.994958,	99.697\31.178,	 3.758\194.567,	   49.999993,	   -1.#IND00,	   95.939255,	  196.610819,	   -1.#IND00,	   -1.#IND00
    2.194541,	99.697\23.678,	 4.154\195.335,	   49.999993,	   -1.#IND00,	   95.543330,	  188.343016,	   -1.#IND00,	   -1.#IND00
    2.394125,	99.697\16.177,	 4.479\195.978,	   49.999993,	   -1.#IND00,	   95.217868,	  180.198782,	   -1.#IND00,	   -1.#IND00
