[mea_500kV_1]一次侧数据---kV/kA
TIME		Va		Vb		Vc		Ia		Ib		Ic		Vab		Vbc		Vca		freq		P		Q		pf		3I0		3V0
    0.004958,	    8.399007,	    3.591266,	    6.128728,	    0.030591,	    0.011321,	    0.024045	   11.371883,	    5.511230,	   14.258754,	   16.966354,	  121.001817,	    0.000000,	    1.000000,	   -0.000000,	    0.000000
    0.005375,	    9.242778,	    3.621385,	    7.500714,	    0.033590,	    0.011699,	    0.029347	   11.867016,	    7.302145,	   16.439735,	   39.344696,	  154.804088,	    0.000000,	    1.000000,	   -0.000000,	    0.000000
    0.005792,	    9.977785,	    3.808798,	    8.980599,	    0.036064,	    0.013192,	    0.035083	   12.143933,	    9.526804,	   18.598596,	   49.310865,	  194.714292,	    0.000000,	    1.000000,	   -0.000000,	    0.000000
    0.006208,	   10.568994,	    4.312348,	   10.534905,	    0.037978,	    0.016175,	    0.041024	   12.231751,	   12.143208,	   20.658638,	   55.924853,	  241.284193,	    0.000000,	    1.000000,	   -0.000000,	    0.000000
    0.006625,	   11.011237,	    5.189195,	   12.111699,	    0.039324,	    0.020574,	    0.046990	   12.233434,	   15.033119,	   22.559996,	   60.296717,	  294.868335,	    0.000000,	    1.000000,	   -0.000000,	    0.000000
    0.007042,	   11.298643,	    6.442752,	   13.675715,	    0.040129,	    0.026145,	    0.052824	   12.300878,	   18.149631,	   24.245823,	   63.252811,	  356.193554,	    0.000000,	    1.000000,	   -0.000000,	    0.000000
    0.007458,	   11.440905,	    8.038551,	   15.187559,	    0.040497,	    0.032531,	    0.058357	   12.663463,	   21.439827,	   25.661142,	   64.606260,	  426.174567,	    0.000000,	    1.000000,	   -0.000000,	    0.000000
    0.007875,	   11.481227,	    9.867637,	   16.593433,	    0.040580,	    0.039467,	    0.063467	   13.529067,	   24.771072,	   26.775939,	   64.239858,	  504.530856,	    0.000000,	    1.000000,	   -0.000000,	    0.000000
    0.008292,	   11.481399,	   11.829078,	   17.852834,	    0.040586,	    0.046912,	    0.068092	   14.992516,	   28.026399,	   27.589226,	   63.245396,	  590.473315,	    0.000000,	    1.000000,	   -0.000000,	    0.000000
    0.008708,	   11.517214,	   13.870906,	   18.943957,	    0.040843,	    0.054894,	    0.072175	   17.065256,	   31.143296,	   28.118276,	   62.606834,	  683.921757,	    0.000000,	    1.000000,	   -0.000000,	    0.000000
    0.009125,	   11.687732,	   15.985075,	   19.858081,	    0.041826,	    0.063348,	    0.075631	   19.746088,	   34.104676,	   28.396661,	   62.645054,	  786.469093,	    0.000000,	    1.000000,	   -0.000000,	    0.000000
    0.009542,	   12.118892,	   18.169813,	   20.588261,	    0.044016,	    0.071996,	    0.078361	   23.024831,	   36.894033,	   28.484136,	   63.715200,	  900.886152,	    0.000000,	    1.000000,	   -0.000000,	   -0.000000
    0.009958,	   12.916926,	   20.360664,	   21.121910,	    0.047707,	    0.080494,	    0.080313	   26.770733,	   39.427611,	   28.485216,	   35.742343,	 1027.538734,	    0.000000,	    1.000000,	   -0.000000,	   -0.000000
    0.010375,	   14.125285,	   22.475559,	   21.461321,	    0.052987,	    0.088634,	    0.081532	   30.801957,	   41.616756,	   28.549488,	   -1.#IND00,	 1165.262742,	    0.000000,	    1.000000,	   -0.000000,	   -0.000000
    0.010792,	   15.743616,	   24.472864,	   21.634383,	    0.059770,	    0.096271,	    0.082133	   35.007406,	   43.428950,	   28.859918,	   -1.#IND00,	 1314.829020,	    0.000000,	    1.000000,	   -0.000000,	   -0.000000
    0.011208,	   17.729685,	   26.312674,	   21.687201,	    0.067812,	    0.103238,	    0.082301	   39.281833,	   44.844635,	   29.614119,	   -1.#IND00,	 1477.033248,	    0.000000,	    1.000000,	    0.000000,	   -0.000000
    0.011625,	   20.004230,	   27.947684,	   21.687752,	    0.076817,	    0.109409,	    0.082301	   43.498574,	   45.855142,	   30.983586,	   -1.#IND00,	 1651.600860,	    0.000000,	    1.000000,	    0.000000,	   -0.000000
    0.012042,	   22.475642,	   29.340245,	   21.727548,	    0.086516,	    0.114716,	    0.082472	   47.538644,	   46.483526,	   33.070103,	   -1.#IND00,	 1838.090839,	    0.000000,	    1.000000,	   -0.000000,	   -0.000000
    0.012458,	   25.057246,	   30.470283,	   21.914489,	    0.096681,	    0.119136,	    0.083203	   51.306555,	   46.792096,	   35.885690,	   26.079394,	 2036.548543,	    0.000000,	    1.000000,	   -0.000000,	   -0.000000
    0.012875,	   27.689370,	   31.347344,	   22.355703,	    0.107067,	    0.122637,	    0.084904	   54.762550,	   46.884600,	   39.373866,	   36.806512,	 2249.134655,	    0.000000,	    1.000000,	    0.000000,	   -0.000000
    0.013292,	   30.318170,	   31.985260,	   23.144930,	    0.117360,	    0.125168,	    0.087969	   57.868894,	   46.886010,	   43.436179,	   42.744332,	 2477.936124,	    0.000000,	    1.000000,	    0.000000,	   -0.000000
    0.013708,	   32.865578,	   32.389406,	   24.356463,	    0.127247,	    0.126759,	    0.092675	   60.540915,	   46.951843,	   47.934261,	   46.478219,	 2722.457096,	    0.000000,	    1.000000,	    0.000000,	   -0.000000
    0.014125,	   35.257547,	   32.590530,	   26.018454,	    0.136505,	    0.127567,	    0.099091	   62.717737,	   47.276956,	   52.706418,	   48.751397,	 2982.197219,	    0.000000,	    1.000000,	    0.000000,	   -0.000000
    0.014542,	   37.440736,	   32.650243,	   28.104063,	    0.144957,	    0.127827,	    0.107098	   64.388321,	   48.061884,	   57.595623,	   49.925809,	 3257.685455,	    0.000000,	    1.000000,	    0.000000,	   -0.000000
    0.014958,	   39.372908,	   32.650901,	   30.549065,	    0.152450,	    0.127835,	    0.116452	   65.569575,	   49.481588,	   62.456874,	   50.775663,	 3549.552634,	    0.000000,	    1.000000,	    0.000000,	   -0.000000
    0.015375,	   41.021854,	   32.692939,	   33.267464,	    0.158858,	    0.127957,	    0.126834	   66.306240,	   51.655709,	   67.158061,	   51.600487,	 3858.344940,	   -0.054734,	    1.000000,	    0.000000,	   -0.000000
    0.015792,	   42.362532,	   32.892262,	   36.166908,	    0.164104,	    0.128609,	    0.137886	   66.670269,	   54.637974,	   71.577634,	   52.449201,	 4184.530238,	   -0.171019,	    1.000000,	    0.000000,	   -0.000000
    0.016208,	   43.385998,	   33.369256,	   39.150300,	    0.168174,	    0.130204,	    0.149240	   66.775431,	   58.396589,	   75.608693,	   53.563544,	 4528.598088,	    0.101708,	    1.000000,	    0.000000,	   -0.000000
    0.016625,	   44.109326,	   34.217707,	   42.117260,	    0.171100,	    0.133125,	    0.160566	   66.776528,	   62.799662,	   79.171592,	   50.661075,	 4890.347776,	    1.000410,	    1.000000,	    0.000000,	   -0.000000
    0.017042,	   44.562112,	   35.504139,	   44.985811,	    0.172957,	    0.137697,	    0.171573	   66.850044,	   67.696028,	   82.209891,	   44.143070,	 5270.048913,	    2.338367,	    1.000000,	    0.000000,	   -0.000000
    0.017458,	   44.787660,	   37.270635,	   47.688897,	    0.173911,	    0.144089,	    0.181972	   67.199989,	   72.943319,	   84.683119,	   35.879182,	 5669.265645,	    3.821497,	    1.000000,	    0.000000,	   -0.000000
    0.017875,	   44.854378,	   39.509555,	   50.162189,	    0.174224,	    0.152251,	    0.191493	   68.041130,	   78.374645,	   86.575492,	   40.192962,	 6089.165403,	    5.501565,	    1.000000,	    0.000000,	   -0.000000
    0.018292,	   44.855101,	   42.162279,	   52.349400,	    0.174239,	    0.161954,	    0.199921	   69.561599,	   83.810827,	   87.904618,	   43.834942,	 6530.097536,	    6.195707,	    1.000000,	    0.000000,	   -0.000000
    0.018708,	   44.901108,	   45.133319,	   54.207893,	    0.174356,	    0.172871,	    0.207105	   71.887109,	   89.078140,	   88.725385,	   46.891963,	 6991.621760,	    3.326045,	    1.000000,	    0.000000,	   -0.000000
    0.019125,	   45.113517,	   48.312760,	   55.713391,	    0.175024,	    0.184651,	    0.212964	   75.064788,	   94.026487,	   89.130802,	   49.550532,	 7473.334168,	   -2.147847,	    1.000000,	    0.000000,	    0.000000
    0.019542,	   45.616672,	   51.603710,	   56.863115,	    0.176705,	    0.196899,	    0.217472	   79.083711,	   98.548631,	   89.250470,	   52.226489,	 7977.237519,	   -6.224392,	    1.000000,	    0.000000,	    0.000000
    0.019958,	   46.520599,	   54.899691,	   57.669421,	    0.179805,	    0.209192,	    0.220666	   83.848210,	  102.544186,	   89.251781,	   54.819906,	 8503.904286,	   -6.667092,	    1.000000,	    0.000000,	    0.000000
    0.020375,	   47.898715,	   58.089304,	   58.165040,	    0.184632,	    0.221166,	    0.222675	   89.185965,	  105.928237,	   89.333925,	   57.377402,	 9051.825981,	   -4.269511,	    1.000000,	   -0.000000,	    0.000000
    0.020792,	   49.784436,	   61.086323,	   58.408450,	    0.191359,	    0.232506,	    0.223704	   94.913175,	  108.663157,	   89.713629,	   36.931577,	 9621.575925,	   -1.865210,	    1.000000,	    0.000000,	    0.000000
    0.021208,	   52.168213,	   63.822102,	   58.480210,	    0.199969,	    0.242911,	    0.224041	  100.844590,	  110.746869,	   90.607143,	   41.601730,	10214.718185,	   -0.866651,	    1.000000,	    0.000000,	    0.000000
    0.021625,	   54.994959,	   66.236259,	   58.481046,	    0.210267,	    0.252123,	    0.224055	  106.786433,	  112.205633,	   92.204742,	   45.345648,	10831.720310,	   -0.144105,	    1.000000,	    0.000000,	    0.000000
    0.022042,	   58.173892,	   68.282610,	   58.529260,	    0.221919,	    0.259950,	    0.224185	  112.551138,	  113.102504,	   94.642681,	   48.015040,	11472.390723,	   -0.427047,	    1.000000,	   -0.000000,	    0.000000
    0.022458,	   61.586215,	   69.928467,	   58.753876,	    0.234520,	    0.266300,	    0.224906	  117.956293,	  113.539222,	   97.978412,	   49.858850,	12134.870361,	   -2.740430,	    1.000000,	   -0.000000,	    0.000000
    0.022875,	   65.109948,	   71.171260,	   59.280821,	    0.247656,	    0.271170,	    0.226689	  122.862082,	  113.665397,	  102.184607,	   51.357941,	12818.869232,	   -5.602505,	    1.000000,	    0.000000,	    0.000000
    0.023292,	   68.634553,	   72.037640,	   60.216276,	    0.260892,	    0.274619,	    0.229951	  127.178013,	  113.666798,	  107.163343,	   50.260266,	13526.123335,	   -7.317955,	    1.000000,	   -0.000000,	    0.000000
    0.023708,	   72.054023,	   72.570392,	   61.636545,	    0.273792,	    0.276774,	    0.235012	  130.833575,	  113.750907,	  112.761828,	   47.481918,	14257.307678,	   -7.259933,	    1.000000,	   -0.000000,	    0.000000
    0.024125,	   75.266493,	   72.830964,	   63.578962,	    0.285963,	    0.277864,	    0.242036	  133.777816,	  114.141239,	  118.786823,	   44.544198,	15011.678608,	   -6.168073,	    1.000000,	   -0.000000,	    0.000000
    0.024542,	   78.185913,	   72.906878,	   66.033432,	    0.297081,	    0.278216,	    0.251001	  136.001786,	  115.059189,	  125.025956,	   46.099620,	15788.864107,	   -5.468556,	    1.000000,	   -0.000000,	    0.000000
    0.024958,	   80.745622,	   72.907706,	   68.944347,	    0.306900,	    0.278230,	    0.261712	  137.540740,	  116.695577,	  131.266231,	   47.460010,	16588.712138,	   -5.256942,	    1.000000,	   -0.000000,	    0.000000
    0.025375,	   82.903507,	   72.957893,	   72.218567,	    0.315245,	    0.278359,	    0.273844	  138.478048,	  119.179527,	  137.310494,	   48.686228,	17411.367036,	   -5.417177,	    1.000000,	   -0.000000,	    0.000000
    0.025792,	   84.637327,	   73.187410,	   75.742966,	    0.322010,	    0.279086,	    0.286990	  138.934341,	  122.569616,	  142.984443,	   49.797179,	18256.870903,	   -5.719691,	    1.000000,	   -0.000000,	    0.000000
    0.026208,	   85.944170,	   73.723753,	   79.396388,	    0.327179,	    0.280884,	    0.300693	  139.066163,	  126.852498,	  148.139063,	   50.943112,	19125.378549,	   -5.764157,	    1.000000,	   -0.000000,	    0.000000
    0.026625,	   86.847356,	   74.675142,	   83.053673,	    0.330829,	    0.284159,	    0.314485	  139.067493,	  131.932240,	  152.657705,	   52.147526,	20016.752749,	   -5.932768,	    1.000000,	   -0.000000,	    0.000000
    0.027042,	   87.397313,	   76.112605,	   86.595222,	    0.333118,	    0.289221,	    0.327933	  139.154969,	  137.642406,	  156.463787,	   53.404728,	20930.151413,	   -6.969328,	    1.000000,	   -0.000000,	    0.000000
    0.027458,	   87.665370,	   78.069565,	   89.918820,	    0.334288,	    0.296251,	    0.340649	  139.551976,	  143.789031,	  159.519170,	   44.825471,	21865.468223,	   -8.962633,	    1.000000,	   -0.000000,	    0.000000
    0.027875,	   87.743707,	   80.540565,	   92.940266,	    0.334674,	    0.305263,	    0.352291	  140.476291,	  150.167883,	  161.823731,	   46.028248,	22823.633780,	  -10.347491,	    1.000000,	   -0.000000,	    0.000000
    0.028292,	   87.744612,	   83.481213,	   95.593129,	    0.334691,	    0.316075,	    0.362576	  142.121122,	  156.573311,	  163.417299,	   47.429510,	23806.276232,	   -9.415404,	    1.000000,	   -0.000000,	    0.000000
    0.028708,	   87.795707,	   86.804179,	   97.828350,	    0.334804,	    0.328345,	    0.371303	  144.622672,	  162.796244,	  164.383634,	   48.705899,	24813.437798,	   -7.778314,	    1.000000,	   -0.000000,	    0.000000
    0.029125,	   88.028620,	   90.388407,	   99.618730,	    0.335499,	    0.341654,	    0.378367	  148.034836,	  168.638290,	  164.850825,	   49.842796,	25842.993349,	   -7.169816,	    1.000000,	    0.000000,	   -0.000000
    0.029542,	   88.567402,	   94.105100,	  100.964798,	    0.337246,	    0.355562,	    0.383762	  152.335219,	  173.940035,	  164.986000,	   50.992357,	26893.844992,	   -7.276819,	    1.000000,	   -0.000000,	   -0.000000
    0.029958,	   89.519541,	   97.833591,	  101.894055,	    0.340464,	    0.369607,	    0.387567	  157.441801,	  178.588555,	  164.987520,	   52.176723,	27967.558144,	   -7.541125,	    1.000000,	    0.000000,	   -0.000000
    0.030375,	   90.961433,	  101.453607,	  102.457204,	    0.345458,	    0.383328,	    0.389952	  163.205865,	  182.501079,	  165.076005,	   53.400473,	29064.295256,	   -7.620030,	    1.000000,	   -0.000000,	   -0.000000
    0.030792,	   92.927775,	  104.853654,	  102.729119,	    0.352398,	    0.396312,	    0.391179	  169.429774,	  185.632836,	  165.479297,	   45.547829,	30183.131955,	   -8.352760,	    1.000000,	   -0.000000,	   -0.000000
    0.031208,	   95.409313,	  107.941476,	  102.807541,	    0.361296,	    0.408214,	    0.391597	  175.895447,	  187.985555,	  166.413019,	   46.306141,	31323.689976,	  -10.230187,	    1.000000,	   -0.000000,	   -0.000000
    0.031625,	   98.358254,	  110.649926,	  102.808431,	    0.372007,	    0.418751,	    0.391622	  182.389503,	  189.609106,	  168.060801,	   47.730178,	32487.325541,	  -10.922440,	    1.000000,	    0.000000,	   -0.000000
    0.032042,	  101.693840,	  112.934129,	  102.859249,	    0.384232,	    0.427705,	    0.391725	  188.710053,	  190.595509,	  170.555582,	   48.921711,	33675.779576,	   -9.807407,	    1.000000,	   -0.000000,	   -0.000000
    0.032458,	  105.306111,	  114.766639,	  103.091598,	    0.397556,	    0.434944,	    0.392399	  194.662886,	  191.073653,	  173.963008,	   49.885405,	34888.636087,	   -8.569542,	    1.000000,	   -0.000000,	   -0.000000
    0.032875,	  109.064084,	  116.141402,	  103.631647,	    0.411516,	    0.440454,	    0.394122	  200.070190,	  191.211174,	  178.269908,	   50.746302,	36123.318082,	   -8.005479,	    1.000000,	   -0.000000,	   -0.000000
    0.033292,	  112.837172,	  117.085927,	  104.585543,	    0.425646,	    0.444336,	    0.397299	  204.803681,	  191.212637,	  183.389237,	   51.564854,	37379.477342,	   -8.333932,	    1.000000,	    0.000000,	   -0.000000
    0.033708,	  116.504646,	  117.656700,	  106.027451,	    0.439490,	    0.446773,	    0.402237	  208.784680,	  191.302133,	  189.175069,	   52.334797,	38658.251790,	   -8.905910,	    1.000000,	   -0.000000,	   -0.000000
    0.034125,	  119.956706,	  117.932327,	  107.993413,	    0.452616,	    0.448029,	    0.409108	  211.973378,	  191.707096,	  195.438847,	   46.701360,	39960.222252,	   -9.034866,	    1.000000,	    0.000000,	   -0.000000
    0.034542,	  123.097271,	  118.011798,	  110.477973,	    0.464650,	    0.448458,	    0.417930	  214.368987,	  192.643183,	  201.964990,	   47.467132,	41285.105134,	   -9.174235,	    1.000000,	   -0.000000,	   -0.000000
    0.034958,	  125.850698,	  118.012669,	  113.434109,	    0.475295,	    0.448487,	    0.428559	  216.017313,	  194.294045,	  208.529135,	   48.346017,	42632.685336,	   -9.343410,	    1.000000,	    0.000000,	   -0.000000
    0.035375,	  128.166762,	  118.064267,	  116.778028,	    0.484344,	    0.448589,	    0.440715	  217.013070,	  196.788818,	  214.915059,	   49.167028,	44002.998013,	   -9.502543,	    1.000000,	    0.000000,	   -0.000000
    0.035792,	  130.022311,	  118.297215,	  120.399668,	    0.491674,	    0.449258,	    0.454017	  217.494793,	  200.186965,	  220.928793,	   49.920301,	45396.112497,	   -9.850733,	    1.000000,	    0.000000,	   -0.000000
    0.036208,	  131.416792,	  118.835781,	  124.177001,	    0.497258,	    0.450973,	    0.468015	  217.634337,	  204.483172,	  226.403752,	   50.663381,	46812.243761,	  -10.181505,	    1.000000,	    0.000000,	   -0.000000
    0.036625,	  132.375458,	  119.788156,	  127.982577,	    0.501181,	    0.454146,	    0.482220	  217.635908,	  209.604920,	  231.206404,	   51.420605,	48252.004040,	  -10.603642,	    1.000000,	    0.000000,	   -0.000000
    0.037042,	  132.953071,	  121.230176,	  131.688792,	    0.503634,	    0.459074,	    0.496147	  217.726001,	  215.408607,	  235.244891,	   52.205352,	49715.212695,	  -11.264217,	    1.000000,	    0.000000,	   -0.000000
    0.037458,	  133.230857,	  123.195636,	  135.178550,	    0.504896,	    0.465922,	    0.509360	  218.133013,	  221.698779,	  238.474818,	   47.168664,	51200.866297,	  -12.772136,	    1.000000,	    0.000000,	   -0.000000
    0.037875,	  133.310886,	  125.677441,	  138.353870,	    0.505325,	    0.474715,	    0.521484	  219.069464,	  228.257383,	  240.899050,	   47.476404,	52708.404908,	  -15.171676,	    1.000000,	    0.000000,	   -0.000000
    0.038292,	  133.311804,	  128.631139,	  141.139352,	    0.505354,	    0.485330,	    0.532217	  220.716329,	  234.862802,	  242.566975,	   48.346372,	54238.323752,	  -16.036919,	    1.000000,	    0.000000,	   -0.000000
    0.038708,	  133.363440,	  131.979584,	  143.483414,	    0.505460,	    0.497492,	    0.541339	  223.206956,	  241.301458,	  243.573364,	   49.164070,	55791.907488,	  -12.888189,	    1.000000,	    0.000000,	   -0.000000
    0.039125,	  133.597890,	  135.613591,	  145.358531,	    0.506137,	    0.510815,	    0.548725	  226.604903,	  247.369967,	  244.057270,	   49.914316,	57368.544645,	   -7.836301,	    1.000000,	    0.000000,	    0.000000
    0.039542,	  134.137979,	  139.405689,	  146.764888,	    0.507857,	    0.524852,	    0.554356	  230.898148,	  252.892783,	  244.196465,	   50.655394,	58966.875891,	   -4.513025,	    1.000000,	    0.000000,	    0.000000
    0.039958,	  135.088169,	  143.228681,	  147.732055,	    0.511032,	    0.539131,	    0.558315	  236.012239,	  257.739437,	  244.198059,	   51.416419,	60588.028776,	   -4.631514,	    1.000000,	   -0.000000,	    0.000000
    0.040375,	  136.524959,	  146.959214,	  148.315930,	    0.515968,	    0.553160,	    0.560786	  241.815085,	  261.820907,	  244.287431,	   52.208102,	62233.690461,	   -6.470404,	    1.000000,	   -0.000000,	    0.000000
    0.040792,	  138.486008,	  150.478544,	  148.596734,	    0.522833,	    0.566481,	    0.562050	  248.119616,	  265.087134,	  244.693555,	   47.627200,	63903.156206,	   -7.863679,	    1.000000,	   -0.000000,	    0.000000
    0.041208,	  140.966019,	  153.682963,	  148.677298,	    0.531645,	    0.578703,	    0.562476	  254.705327,	  267.535728,	  245.630336,	   47.593139,	65594.810465,	   -9.053327,	    1.000000,	    0.000000,	    0.000000
    0.041625,	  143.918987,	  156.492077,	  148.678186,	    0.542277,	    0.589527,	    0.562503	  261.342089,	  269.216031,	  247.277142,	   48.483255,	67307.648029,	  -10.617961,	    1.000000,	    0.000000,	    0.000000
    0.042042,	  147.266680,	  158.854709,	  148.730017,	    0.554472,	    0.598734,	    0.562611	  267.813311,	  270.228418,	  249.762621,	   49.259702,	69042.911501,	  -10.678595,	    1.000000,	   -0.000000,	    0.000000
    0.042458,	  150.905439,	  160.746284,	  148.964304,	    0.567851,	    0.606195,	    0.563293	  273.922023,	  270.715739,	  253.152647,	   49.929201,	70802.183075,	   -8.546223,	    1.000000,	    0.000000,	    0.000000
    0.042875,	  154.710994,	  162.165436,	  149.504384,	    0.581960,	    0.611877,	    0.565021	  279.490034,	  270.855842,	  257.442181,	   50.540720,	72584.680878,	   -5.697255,	    1.000000,	   -0.000000,	    0.000000
    0.043292,	  158.550721,	  163.139522,	  150.454407,	    0.596316,	    0.615870,	    0.568202	  284.375001,	  270.857404,	  262.555167,	   51.130639,	74389.363353,	   -4.259418,	    1.000000,	   -0.000000,	    0.000000
    0.043708,	  162.297346,	  163.726386,	  151.888279,	    0.610438,	    0.618363,	    0.573139	  288.484777,	  270.947096,	  268.355409,	   51.701446,	76216.806943,	   -4.740736,	    1.000000,	    0.000000,	    0.000000
    0.044125,	  165.834034,	  164.008651,	  153.843271,	    0.623873,	    0.619639,	    0.580009	  291.773503,	  271.352635,	  274.660736,	   47.923078,	78067.516608,	   -5.839225,	    1.000000,	    0.000000,	    0.000000
    0.044542,	  169.058820,	  164.089899,	  156.317048,	    0.636217,	    0.620070,	    0.588837	  294.240955,	  272.286880,	  281.258445,	   48.160371,	79941.399085,	   -6.498238,	    1.000000,	   -0.000000,	    0.000000
    0.044958,	  171.889589,	  164.090824,	  159.267819,	    0.647150,	    0.620098,	    0.599496	  295.934825,	  273.930726,	  287.921413,	   48.789894,	81838.067721,	   -6.726044,	    1.000000,	   -0.000000,	    0.000000
    0.045375,	  174.269765,	  164.142879,	  162.617784,	    0.656448,	    0.620205,	    0.611719	  296.953072,	  276.414374,	  294.425041,	   49.379872,	83757.379299,	   -6.626979,	    1.000000,	   -0.000000,	    0.000000
    0.045792,	  176.172834,	  164.377799,	  166.259973,	    0.663984,	    0.620885,	    0.625134	  297.441554,	  279.799949,	  300.563523,	   49.933133,	85699.306873,	   -6.711590,	    1.000000,	   -0.000000,	    0.000000
    0.046208,	  177.600562,	  164.917185,	  170.070957,	    0.669731,	    0.622606,	    0.639298	  297.582164,	  284.080371,	  306.160908,	   50.480890,	87663.767687,	   -7.131333,	    1.000000,	   -0.000000,	    0.000000
    0.046625,	  178.581214,	  165.864894,	  173.921578,	    0.673769,	    0.625778,	    0.653729	  297.583789,	  289.185938,	  311.076787,	   51.045589,	89651.128550,	   -7.167627,	    1.000000,	   -0.000000,	    0.000000
    0.047042,	  179.171376,	  167.296217,	  177.683178,	    0.676290,	    0.630706,	    0.667937	  297.673479,	  294.985236,	  315.213202,	   51.636669,	91661.717674,	   -6.057955,	    1.000000,	   -0.000000,	    0.000000
    0.047458,	  179.454391,	  169.248478,	  181.235490,	    0.677583,	    0.637559,	    0.681463	  298.079769,	  301.295239,	  318.520510,	   48.263698,	93695.228397,	   -4.105487,	    1.000000,	   -0.000000,	    0.000000
    0.047875,	  179.535582,	  171.718474,	  184.474894,	    0.678024,	    0.646367,	    0.693904	  299.014268,	  307.901633,	  320.999672,	   48.158158,	95751.245883,	   -3.413237,	    1.000000,	   -0.000000,	    0.000000
    0.048292,	  179.536517,	  174.664248,	  187.319781,	    0.678054,	    0.657012,	    0.704937	  300.654654,	  314.577874,	  322.701910,	   48.789282,	97829.660794,	   -4.674045,	    1.000000,	   -0.000000,	    0.000000
    0.048708,	  179.588273,	  178.011563,	  189.714380,	    0.678158,	    0.669236,	    0.714323	  303.131296,	  321.103374,	  323.726537,	   49.380854,	99931.610164,	   -6.041026,	    1.000000,	   -0.000000,	    0.000000
    0.049125,	  179.823007,	  181.656916,	  191.629478,	    0.678830,	    0.682663,	    0.721928	  306.511405,	  327.270332,	  324.217684,	   49.934617,	102057.405950,	   -6.392959,	    1.000000,	   -0.000000,	   -0.000000
    0.049542,	  180.362766,	  185.474513,	  193.064326,	    0.680538,	    0.696845,	    0.727727	  310.788048,	  332.894173,	  324.358332,	   50.482143,	104205.356301,	   -6.443126,	    1.000000,	   -0.000000,	   -0.000000
    0.049958,	  181.309639,	  189.332526,	  194.048696,	    0.683686,	    0.711307,	    0.731807	  315.887773,	  337.831642,	  324.359920,	   51.045837,	106374.887240,	   -6.862766,	    1.000000,	   -0.000000,	   -0.000000
    0.050375,	  182.737934,	  193.103737,	  194.641083,	    0.688581,	    0.725565,	    0.734358	  321.681925,	  341.987217,	  324.449617,	   51.634670,	108567.357046,	   -7.292503,	    1.000000,	   -0.000000,	   -0.000000
    0.050792,	  184.686243,	  196.668651,	  194.925201,	    0.695399,	    0.739152,	    0.735670	  327.992835,	  345.311130,	  324.855546,	   48.597317,	110783.400584,	   -6.219946,	    1.000000,	   -0.000000,	   -0.000000
    0.051208,	  187.153196,	  199.922396,	  195.006636,	    0.704168,	    0.751657,	    0.736120	  334.608694,	  347.802799,	  325.789578,	   48.222227,	113022.871286,	   -4.403333,	    1.000000,	   -0.000000,	   -0.000000
