[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.018708,	15.601\88.378,	 2.011\175.993,	   56.279841,	   -1.#IND00,	   13.590438,	  -87.615310,	   -1.#IND00,	   -1.#IND00
    0.038292,	47.432\87.952,	 2.992\180.489,	   51.053936,	   -1.#IND00,	   44.440427,	  -92.537153,	   -1.#IND00,	   -1.#IND00
    0.057875,	79.250\81.771,	 5.579\158.673,	   49.709592,	   -1.#IND00,	   73.670768,	  -76.902671,	   -1.#IND00,	   -1.#IND00
    0.077458,	99.441\76.128,	 6.599\138.843,	   51.524267,	   -1.#IND00,	   92.841930,	  -62.714930,	   -1.#IND00,	   -1.#IND00
    0.097042,	99.693\68.683,	10.323\144.857,	   49.335908,	   -1.#IND00,	   89.369461,	  -76.173686,	   -1.#IND00,	   -1.#IND00
    0.116625,	99.699\61.184,	13.476\155.158,	   50.154995,	   -1.#IND00,	   86.223114,	  -93.974005,	   -1.#IND00,	   -1.#IND00
    0.136208,	99.699\53.684,	16.776\160.292,	   49.964177,	   -1.#IND00,	   82.923250,	 -106.608773,	   -1.#IND00,	   -1.#IND00
    0.155792,	99.699\46.184,	15.897\156.520,	   50.007163,	   -1.#IND00,	   83.802465,	 -110.336674,	   -1.#IND00,	   -1.#IND00
    0.175375,	99.699\38.683,	12.239\163.918,	   49.997708,	   -1.#IND00,	   87.460328,	 -125.234610,	   -1.#IND00,	   -1.#IND00
    0.194958,	99.699\31.183,	 9.565\172.756,	   50.000574,	   -1.#IND00,	   90.133781,	 -141.572555,	   -1.#IND00,	   -1.#IND00
    0.214542,	99.699\23.683,	 8.861\190.511,	   49.999802,	   -1.#IND00,	   90.837980,	 -166.827419,	   -1.#IND00,	   -1.#IND00
    0.234125,	99.699\16.183,	 7.391\190.174,	   50.000074,	   -1.#IND00,	   92.307812,	 -173.991072,	   -1.#IND00,	   -1.#IND00
    0.253708,	99.699\ 8.683,	 7.803\189.186,	   50.000031,	   -1.#IND00,	   91.895855,	  179.497391,	   -1.#IND00,	   -1.#IND00
    0.273292,	99.699\ 1.183,	 8.084\188.266,	   49.999966,	   -1.#IND00,	   91.615077,	  172.916956,	   -1.#IND00,	   -1.#IND00
    0.292875,	99.699\353.683,	 8.229\187.417,	   50.000008,	   -1.#IND00,	   91.470387,	  166.266250,	   -1.#IND00,	   -1.#IND00
    0.312458,	99.699\346.183,	 8.234\186.578,	   49.999985,	   -1.#IND00,	   91.464734,	  159.605497,	   -1.#IND00,	   -1.#IND00
    0.332042,	99.699\338.683,	 8.101\185.727,	   49.999988,	   -1.#IND00,	   91.598190,	  152.956106,	   -1.#IND00,	   -1.#IND00
    0.351625,	99.699\331.183,	 7.831\184.832,	   49.999995,	   -1.#IND00,	   91.868394,	  146.351283,	   -1.#IND00,	   -1.#IND00
    0.371208,	99.699\323.683,	 7.428\183.856,	   49.999992,	   -1.#IND00,	   92.270516,	  139.827192,	   -1.#IND00,	   -1.#IND00
    0.390792,	99.699\316.183,	 6.902\182.748,	   49.999993,	   -1.#IND00,	   92.797318,	  133.434612,	   -1.#IND00,	   -1.#IND00
    0.410375,	99.699\308.683,	 6.260\181.434,	   49.999993,	   -1.#IND00,	   93.439177,	  127.248758,	   -1.#IND00,	   -1.#IND00
    0.429958,	99.699\301.183,	 5.515\179.789,	   49.999993,	   -1.#IND00,	   94.184057,	  121.393468,	   -1.#IND00,	   -1.#IND00
    0.449542,	99.699\293.683,	 4.682\177.590,	   49.999993,	   -1.#IND00,	   95.017273,	  116.092828,	   -1.#IND00,	   -1.#IND00
    0.469125,	99.699\286.183,	 3.778\174.379,	   49.999993,	   -1.#IND00,	   95.920601,	  111.803933,	   -1.#IND00,	   -1.#IND00
    0.488708,	99.699\278.683,	 2.830\169.061,	   49.999993,	   -1.#IND00,	   96.869050,	  109.621124,	   -1.#IND00,	   -1.#IND00
