[mea_500kV_1]同期数据---kV/kA		同期电压类型：A相-相电压
TIME		V-local		V-remote		f-local		f-remote		Delta-V		Delta-a		Delta-f		Delta-w
    0.000000,	 0.007\90.000,	 0.001\90.000,	   -1.#IND00,	   -1.#IND00,	    0.005324,	    0.000000,	   -1.#IND00,	   -1.#IND00
    0.000000,	 0.065\90.778,	 0.007\91.485,	   -1.#IND00,	   -1.#IND00,	    0.057696,	  359.293277,	   -1.#IND00,	   -1.#IND00
    0.000375,	 0.225\92.383,	 0.021\93.141,	   -1.#IND00,	   -1.#IND00,	    0.204165,	  359.242292,	   -1.#IND00,	   -1.#IND00
    0.000792,	 0.514\94.304,	 0.059\93.681,	   -1.#IND00,	   -1.#IND00,	    0.454855,	    0.623418,	   -1.#IND00,	   -1.#IND00
    0.001208,	 0.941\96.413,	 0.159\94.128,	   -1.#IND00,	   -1.#IND00,	    0.782132,	    2.285660,	   -1.#IND00,	   -1.#IND00
    0.001625,	 1.504\98.651,	 0.341\95.391,	   -1.#IND00,	   -1.#IND00,	    1.163490,	    3.259733,	   -1.#IND00,	   -1.#IND00
    0.002042,	 2.199\100.969,	 0.618\97.063,	   -1.#IND00,	   -1.#IND00,	    1.580792,	    3.906084,	   -1.#IND00,	   -1.#IND00
    0.002458,	 3.003\103.416,	 1.002\98.925,	   -1.#IND00,	   -1.#IND00,	    2.000434,	    4.490795,	   -1.#IND00,	   -1.#IND00
    0.002875,	 3.870\106.081,	 1.495\100.928,	   -1.#IND00,	   -1.#IND00,	    2.374892,	    5.153352,	   -1.#IND00,	   -1.#IND00
    0.003292,	 4.777\108.909,	 2.095\103.037,	   -1.#IND00,	   -1.#IND00,	    2.682240,	    5.872155,	   -1.#IND00,	   -1.#IND00
    0.003708,	 5.723\111.794,	 2.792\105.260,	   -1.#IND00,	   -1.#IND00,	    2.930699,	    6.534074,	   -1.#IND00,	   -1.#IND00
    0.004125,	 6.695\114.724,	 3.567\107.631,	   16.966336,	   -1.#IND00,	    3.128744,	    7.092190,	   -1.#IND00,	   -1.#IND00
    0.004542,	 7.661\117.777,	 4.407\110.102,	   39.344700,	   -1.#IND00,	    3.253461,	    7.675088,	   -1.#IND00,	   -1.#IND00
    0.004958,	 8.569\121.084,	 5.299\112.667,	   49.310873,	   -1.#IND00,	    3.270725,	    8.416556,	   -1.#IND00,	   -1.#IND00
    0.005375,	 9.377\124.747,	 6.212\115.381,	   55.924872,	   -1.#IND00,	    3.164740,	    9.366225,	   -1.#IND00,	   -1.#IND00
    0.005792,	10.055\128.828,	 7.114\118.298,	   60.296736,	   31.378239,	    2.940819,	   10.530160,	   28.918497,	  181.700269
    0.006208,	10.573\133.462,	 7.967\121.485,	   63.252825,	   43.564588,	    2.605314,	   11.977067,	   19.688237,	  123.704841
    0.006625,	10.907\138.843,	 8.738\125.005,	   64.606281,	   51.317421,	    2.169342,	   13.838256,	   13.288860,	   83.496368
    0.007042,	11.063\145.147,	 9.398\128.916,	   64.239870,	   56.421374,	    1.665203,	   16.230811,	    7.818496,	   49.125058
    0.007458,	11.072\152.563,	 9.919\133.340,	   63.245386,	   59.628110,	    1.152814,	   19.222576,	    3.617277,	   22.728018
    0.007875,	10.985\161.348,	10.281\138.425,	   62.606800,	   61.259761,	    0.704188,	   22.922938,	    1.347039,	    8.463693
    0.008292,	10.889\171.813,	10.483\144.322,	   62.644980,	   61.932120,	    0.405308,	   27.491116,	    0.712859,	    4.479028
    0.008708,	10.917\184.173,	10.539\151.261,	   63.715069,	   62.220216,	    0.377638,	   32.911905,	    1.494852,	    9.392434
    0.009125,	11.249\198.122,	10.486\159.530,	   35.742656,	   62.635847,	    0.763623,	   38.592819,	  -26.893190,	 -168.974895
    0.009542,	12.055\212.712,	10.394\169.433,	   -1.#IND00,	   63.421206,	    1.660623,	   43.279348,	   -1.#IND00,	   -1.#IND00
    0.009958,	13.438\226.761,	10.382\181.178,	   -1.#IND00,	   64.939587,	    3.056753,	   45.582918,	   -1.#IND00,	   -1.#IND00
    0.010375,	15.410\239.379,	10.604\194.573,	   -1.#IND00,	   59.397915,	    4.806338,	   44.806021,	   -1.#IND00,	   -1.#IND00
    0.010792,	17.901\250.242,	11.223\208.885,	   -1.#IND00,	   -1.#IND00,	    6.677629,	   41.356982,	   -1.#IND00,	   -1.#IND00
    0.011208,	20.800\259.472,	12.359\223.024,	   -1.#IND00,	   -1.#IND00,	    8.441848,	   36.448641,	   -1.#IND00,	   -1.#IND00
    0.011625,	23.994\267.376,	14.045\235.984,	   26.079406,	   -1.#IND00,	    9.949360,	   31.391660,	   -1.#IND00,	   -1.#IND00
    0.012042,	27.385\274.271,	16.237\247.283,	   36.806531,	   -1.#IND00,	   11.148035,	   26.987788,	   -1.#IND00,	   -1.#IND00
    0.012458,	30.883\280.422,	18.848\256.932,	   42.744355,	   -1.#IND00,	   12.034893,	   23.489687,	   -1.#IND00,	   -1.#IND00
    0.012875,	34.386\286.043,	21.777\265.183,	   46.478242,	   18.042904,	   12.609006,	   20.860799,	   28.435339,	  178.664499
    0.013292,	37.793\291.311,	24.927\272.344,	   48.751424,	   32.889916,	   12.866298,	   18.967919,	   15.861508,	   99.660793
    0.013708,	41.017\296.362,	28.203\278.691,	   49.925831,	   39.895561,	   12.814323,	   17.671808,	   10.030270,	   63.022046
    0.014125,	43.981\301.309,	31.506\284.454,	   50.775679,	   44.149977,	   12.475158,	   16.854916,	    6.625702,	   41.630512
    0.014542,	46.617\306.248,	34.748\289.815,	   51.600498,	   46.844345,	   11.869769,	   16.433056,	    4.756153,	   29.883788
    0.014958,	48.868\311.273,	37.848\294.916,	   52.449200,	   48.592358,	   11.020081,	   16.356388,	    3.856842,	   24.233251
    0.015375,	50.691\316.473,	40.728\299.878,	   53.563532,	   49.983930,	    9.962581,	   16.595297,	    3.579602,	   22.491305
    0.015792,	52.075\321.929,	43.322\304.800,	   50.661116,	   51.189829,	    8.752388,	   17.128867,	   -0.528713,	   -3.322004
    0.016208,	53.029\327.727,	45.573\309.776,	   44.143131,	   52.312036,	    7.455732,	   17.951642,	   -8.168906,	  -51.326748
    0.016625,	53.584\333.969,	47.436\314.892,	   35.879161,	   53.583118,	    6.148801,	   19.076737,	  -17.703958,	 -111.237244
    0.017042,	53.813\340.756,	48.890\320.232,	   40.192968,	   53.419383,	    4.923075,	   20.524158,	  -13.226414,	  -83.104011
    0.017458,	53.828\348.180,	49.932\325.886,	   43.834963,	   47.303557,	    3.896294,	   22.294098,	   -3.468594,	  -21.793818
    0.017875,	53.787\356.303,	50.583\331.950,	   46.891985,	   38.516762,	    3.204373,	   24.352899,	    8.375223,	   52.623077
    0.018292,	53.885\ 5.142,	50.899\338.519,	   49.550552,	   38.762732,	    2.986198,	   26.622795,	   10.787820,	   67.781873
    0.018708,	54.346\14.649,	50.974\345.685,	   52.226510,	   42.237572,	    3.371536,	   28.963754,	    9.988938,	   62.762347
    0.019125,	55.393\24.674,	50.939\353.524,	   54.819930,	   45.336232,	    4.453666,	   31.149297,	    9.483698,	   59.587832
    0.019542,	57.210\34.961,	50.964\ 2.073,	   57.377426,	   48.091960,	    6.245938,	   32.887616,	    9.285466,	   58.342300
    0.019958,	59.884\45.186,	51.249\11.308,	   36.931484,	   50.842167,	    8.634363,	   33.878165,	  -13.910684,	  -87.403402
    0.020375,	63.392\55.066,	52.004\21.114,	   41.601730,	   53.432538,	   11.388341,	   33.952512,	  -11.830808,	  -74.335155
    0.020792,	67.636\64.417,	53.408\31.264,	   45.345646,	   56.009967,	   14.227715,	   33.153276,	  -10.664321,	  -67.005902
    0.021208,	72.463\73.159,	55.571\41.463,	   48.015042,	   46.773131,	   16.892038,	   31.696217,	    1.241911,	    7.803156
    0.021625,	77.688\81.292,	58.523\51.433,	   49.858853,	   39.924628,	   19.164290,	   29.859233,	    9.934225,	   62.418573
    0.022042,	83.114\88.871,	62.212\60.959,	   51.357945,	   44.273453,	   20.901303,	   27.912547,	    7.084492,	   44.513172
    0.022458,	88.570\95.977,	66.519\69.916,	   50.260303,	   47.136862,	   22.050722,	   26.061379,	    3.123442,	   19.625162
    0.022875,	93.911\102.698,	71.282\78.269,	   47.481962,	   49.103112,	   22.628532,	   24.428311,	   -1.621150,	  -10.185984
    0.023292,	98.980\109.122,	76.324\86.049,	   44.544208,	   50.750108,	   22.655426,	   23.072665,	   -6.205900,	  -38.992816
    0.023708,	103.620\115.343,	81.469\93.325,	   46.099631,	   51.201270,	   22.150923,	   22.018017,	   -5.101638,	  -32.054538
    0.024125,	107.712\121.448,	86.553\100.182,	   47.460022,	   48.371891,	   21.159354,	   21.266418,	   -0.911870,	   -5.729446
    0.024542,	111.188\127.515,	91.414\106.713,	   48.686240,	   45.013077,	   19.774057,	   20.801840,	    3.673163,	   23.079162
    0.024958,	114.017\133.610,	95.914\113.010,	   49.797189,	   45.411514,	   18.102521,	   20.599982,	    4.385675,	   27.556007
    0.025375,	116.194\139.797,	99.948\119.156,	   50.943121,	   46.847659,	   16.245821,	   20.640818,	    4.095462,	   25.732548
    0.025792,	117.744\146.141,	103.441\125.230,	   52.147535,	   48.142249,	   14.302846,	   20.911202,	    4.005286,	   25.165956
    0.026208,	118.731\152.695,	106.343\131.302,	   53.404738,	   49.317585,	   12.388476,	   21.393141,	    4.087153,	   25.680338
    0.026625,	119.257\159.506,	108.634\137.440,	   44.825441,	   50.493668,	   10.622915,	   22.065639,	   -5.668227,	  -35.614522
    0.027042,	119.445\166.619,	110.323\143.709,	   46.028252,	   51.664248,	    9.122870,	   22.909807,	   -5.635995,	  -35.412003
    0.027458,	119.456\174.072,	111.457\150.165,	   47.429516,	   52.849367,	    7.998700,	   23.906696,	   -5.419851,	  -34.053931
    0.027875,	119.475\181.879,	112.113\156.863,	   48.705906,	   48.679734,	    7.361893,	   25.016657,	    0.026171,	    0.164440
    0.028292,	119.704\190.022,	112.399\163.850,	   49.842802,	   45.418432,	    7.305267,	   26.171410,	    4.424371,	   27.799140
    0.028708,	120.334\198.447,	112.455\171.164,	   50.992363,	   46.883784,	    7.878667,	   27.283332,	    4.108579,	   25.814961
    0.029125,	121.532\207.085,	112.448\178.822,	   52.176729,	   48.183341,	    9.083764,	   28.263692,	    3.993389,	   25.091201
    0.029542,	123.429\215.843,	112.560\186.817,	   53.400479,	   49.345152,	   10.869201,	   29.025977,	    4.055328,	   25.480375
    0.029958,	126.094\224.611,	112.974\195.116,	   45.547787,	   50.522768,	   13.120705,	   29.494612,	   -4.974981,	  -31.258728
    0.030375,	129.528\233.284,	113.859\203.663,	   46.306149,	   51.682479,	   15.668882,	   29.620810,	   -5.376329,	  -33.780473
    0.030792,	133.672\241.773,	115.354\212.370,	   47.730185,	   52.849894,	   18.318430,	   29.402447,	   -5.119709,	  -32.168080
    0.031208,	138.421\250.014,	117.547\221.133,	   48.921718,	   51.682109,	   20.873806,	   28.881301,	   -2.760391,	  -17.344048
    0.031625,	143.618\257.973,	120.467\229.845,	   49.885411,	   45.599140,	   23.151314,	   28.128175,	    4.286271,	   26.931434
    0.032042,	149.072\265.639,	124.085\238.409,	   50.746308,	   47.184247,	   24.987175,	   27.229831,	    3.562061,	   22.381086
    0.032458,	154.581\273.027,	128.311\246.750,	   51.564859,	   48.464925,	   26.269973,	   26.276796,	    3.099934,	   19.477461
    0.032875,	159.967\280.169,	133.013\254.821,	   52.334802,	   49.483278,	   26.954916,	   25.348097,	    2.851525,	   17.916657
    0.033292,	165.071\287.105,	138.022\262.601,	   46.701342,	   50.394460,	   27.049294,	   24.504333,	   -3.693119,	  -23.204549
