[mea_500kV_1]二次侧数据---kV/kA
TIME		Va		Vb		Vc		Ia		Ib		Ic		Vab		Vbc		Vca		freq		P		Q		pf		3I0		3V0
    0.000000,	    0.023391,	    0.035248,	    0.011857,	    0.000325,	    0.000479,	    0.000154,	    0.058639,	    0.047105,	    0.011534,	   -1.#IND00,	    0.001930,	    0.000000,	    1.000000,	    0.000000,	   -0.000000
    0.000375,	    0.202928,	    0.276075,	    0.073207,	    0.001531,	    0.001998,	    0.000470,	    0.478994,	    0.349247,	    0.129848,	   -1.#IND00,	    0.122756,	    0.000000,	    1.000000,	   -0.000000,	   -0.000000
    0.000792,	    0.591086,	    0.723994,	    0.135591,	    0.003431,	    0.003978,	    0.000597,	    1.314806,	    0.857742,	    0.459748,	   -1.#IND00,	    0.891934,	    0.000000,	    1.000000,	   -0.000000,	   -0.000000
    0.001208,	    1.168724,	    1.286830,	    0.146552,	    0.005805,	    0.005964,	    0.000643,	    2.454021,	    1.410284,	    1.057760,	   -1.#IND00,	    3.043326,	    0.000000,	    1.000000,	    0.000000,	   -0.000000
    0.001625,	    1.899223,	    1.875469,	    0.197698,	    0.008485,	    0.007701,	    0.001466,	    3.769586,	    1.872401,	    1.942906,	   -1.#IND00,	    7.163517,	    0.000000,	    1.000000,	   -0.000000,	   -0.000000
    0.002042,	    2.749203,	    2.427470,	    0.488358,	    0.011365,	    0.009084,	    0.003111,	    5.163618,	    2.168891,	    3.114580,	   -1.#IND00,	   13.689218,	    0.000000,	    1.000000,	    0.000000,	    0.000000
    0.002458,	    3.698325,	    2.913975,	    0.990490,	    0.014353,	    0.010069,	    0.005405,	    6.584576,	    2.295004,	    4.563562,	   -1.#IND00,	   23.149929,	    0.000000,	    1.000000,	    0.000000,	    0.000000
    0.002875,	    4.694786,	    3.280396,	    1.703048,	    0.017362,	    0.010665,	    0.008267,	    7.918564,	    2.298201,	    6.254740,	   -1.#IND00,	   35.702381,	    0.000000,	    1.000000,	    0.000000,	    0.000000
    0.003292,	    5.661835,	    3.481997,	    2.624649,	    0.020461,	    0.011015,	    0.011555,	    9.026216,	    2.443315,	    8.109625,	   -1.#IND00,	   51.069458,	    0.000000,	    1.000000,	    0.000000,	    0.000000
    0.003708,	    6.588585,	    3.565833,	    3.694957,	    0.023769,	    0.011234,	    0.015207,	    9.929578,	    3.053898,	   10.070211,	   -1.#IND00,	   69.777319,	    0.000000,	    1.000000,	    0.000000,	    0.000000
    0.004125,	    7.501470,	    3.590879,	    4.863924,	    0.027229,	    0.011315,	    0.019330,	   10.708649,	    4.102715,	   12.122920,	   -1.#IND00,	   92.824213,	    0.000000,	    1.000000,	    0.000000,	    0.000000
